teamNumber,matchNumber,avgHopperShotTime,avgKeyShotTime,didBecomeIncapacitated,didLiftoff,didStartDisabled,disfunctionalPercentage,drivingAbility,liftoffAbility,liftoffTime,lowShotTimesForBoilerAuto,lowShotTimesForBoilerTele,numGearsEjectedTele,numGearsFumbledTele,numGearsPlacedAuto,numGearsPlacedTele,numGroundGearIntakesTele,numHighShotsAuto,numHighShotsTele,numHoppersUsedAuto,numHoppersUsedTele,numHumanGearIntakesTele,numLowShotsAuto,numLowShotsTele,numRPs,rankAgility,rankBallControl,rankDefense,rankGearControl,rankSpeed,scoutName,superNotes,wasDisfunctional
9671,60,2.3333333333333335,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,0,6,7,2.5364705882352943,0.0,0,0,0,0.0,0.0,2,1,0,0,2,2,"['Aidan', 'Michael', 'Ellie']","didn't climb
auto failed
good ground gear intake",False
4255,25,,,False,True,False,,,,8.982,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,,,1,,,0,0,3,,,,,,,,,['Caroline'],,
9678,20,,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,1,2,1.0,47.0,0.0,0,0,0,0.0,0.0,0,2,0,0,3,2,"['Jack', 'aidan', 'Zoravar']",,False
9482,29,,,False,False,False,,,,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,,,0,,,0,0,4,,,,,,,,,"['Zoravar', 'Nick', 'Noah']",did not attempt climb,
6657,58,4.166666666666667,8.777777777777777,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,2,1,1,"['Lasthenia', 'Justin', 'Noemi']","didn't climb
",False
9159,8,,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,0,0,41.33333333333333,116.0,0,1,0,0.0,0.0,2,1,3,0,1,1,"['Nathan', 'Nick']","didn't climb
",False
6657,51,,,True,False,False,0.5,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,"['Zoravar', 'Tim', 'Ellie']","incap most of the game, moved a little in the middle",True
4255,5,,,False,True,False,0.0,,50,7.8745,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0.5,0,2,1,0,0,0,0,0.5,0,0,0,1,0,0,1,2,"['Kenny', 'Nathan']",climbed,False
5104,10,,,False,False,False,0.0,,0,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1.3333333333333333,0,1,0,0,0,0,0,2,0,0,0,2,0,0,3,3,"['Nick', 'Anoushka', 'Justin']",,False
6305,64,4.0,4.0,False,True,False,0.0,,50,6.979,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,0,0,8.053908355795148,16.107816711590296,0,0,0,0.0,0.0,3,1,0,3,1,1,['David'],climbed,False
