number,avgTotalGears,rotorPts/GearOPR
1323,2.7222222222222223,0.7607923913684067
5012,1.8888888888888888,1.015867028754551
199,1.3888888888888888,0.9142342065531406
3615,0.55555555555555558,0.7189173885756285
3598,1.1666666666666667,0.5240935647291793
701,1.9444444444444444,0.6956790449544994
5507,2.333333333333333,0.5007639684986651
100,0.61111111111111116,1.1096099759525657
2473,2.4444444444444446,0.5807879283549785
5496,0.55555555555555558,0.5014150826003794
3257,1.6666666666666667,0.5651543211837065
6174,1.8888888888888888,0.7195000273755758
692,0.88888888888888884,0.6657184437974535
3128,3.7222222222222223,0.41323642894997026
973,0.875,1.7458826200416917
1056,1.5555555555555556,0.6212568322642888
4171,0.33333333333333331,1.4978707866247927
3250,1.5555555555555556,0.735512192207436
4698,0.375,1.0464704506130724
3013,0.0,1.4625798559440866
1072,2.8888888888888888,0.45888452402618896
6474,0.72222222222222221,0.4784153756471259
1678,1.9444444444444444,0.775769154143821
5905,1.1666666666666667,0.9115955848448911
2073,3.8888888888888888,0.4159291759484809
3189,2.2222222222222223,0.5497035111193136
3859,1.5,0.6641934753130544
2543,2.3333333333333335,0.4389160173571063
585,0.72222222222222232,1.2348847840175123
1351,1.3888888888888888,0.4844046004042065
3501,1.6111111111111112,0.7635607873307114
3669,0.77777777777777779,1.1443774110595444
6305,0.22222222222222221,0.9191908248423688
5458,2.5,0.4755826583444387
2085,1.3333333333333333,1.0484028381879162
2204,1.2777777777777779,0.5666302924360228
4543,2.9444444444444442,0.5259255527083111
5480,0.94444444444444442,0.8010630564838861
1700,3.6481481481481479,0.5381701223436979
2551,2.0555555555555554,0.48073373733329494
4669,1.5333333333333334,0.4358508049454792
6612,0.55555555555555558,0.55861049507548
4643,2.1851851851851851,0.4665599770517797
4135,0.77777777777777779,0.8501317330996953
1671,3.0555555555555558,0.4068860532618933
6644,0.55555555555555558,0.8235306094499744
1388,0.88888888888888884,0.8208833785729223
5274,0.88888888888888884,0.6864162523222469
2141,1.7222222222222223,0.5764220942631181
5875,1.6666666666666667,0.5619588974573042
649,2.8148148148148149,0.3020426161463996
2102,1.6666666666666667,0.5449150248181841
295,1.2777777777777777,0.7979733997252179
1458,0.66666666666666663,0.5975124423672653
1662,2.8888888888888893,0.3294823910827531
6665,0.66666666666666663,1.2165905121953606
