,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,home Championship,event,Week,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1218,Vulcan Robotics,St. Louis,MARHatboroHorsham,1,4.87,0.00,-0.18,-0.18,0.17,0.00,9.94,0.17,-1.00,-1.00,3.31,14.63,-0.10,3.62,1.12,0.33,0.30,0.03,0.00,19.89,0.57,-1.00,-1.00,55.45,0.25,0.25,0.19,34.44,-1.00,-1.00,-1.00,0.00,0.00,-0.03,-0.01,0.26,0.28,6.27,7.06,29.83,0.66,0.74,-1.00,-1.00,0.94,77.14,77.14,0.02,11.83,1530,,,,,
3974,E=mCD,St. Louis,MARHatboroHorsham,1,4.46,0.00,-0.15,-0.15,0.34,0.00,20.60,0.34,-1.00,-1.00,6.87,24.91,0.17,1.62,0.53,0.33,0.35,0.36,0.00,28.18,1.80,-1.00,-1.00,62.74,0.41,0.30,-0.03,34.03,-1.00,-1.00,-1.00,0.00,0.00,-0.04,0.24,0.14,0.94,3.36,24.80,48.78,1.05,2.15,-1.00,-1.00,0.38,112.45,112.45,0.43,74.86,1576,,,,,
5608,Lassiter Robotics,Houston,PCHGainesville,1,1.85,0.00,0.25,0.25,0.01,0.00,0.70,0.01,-1.00,-1.00,0.23,2.79,-0.05,0.86,0.30,0.33,0.60,0.32,0.00,49.41,2.46,-1.00,-1.00,83.11,0.35,0.20,0.12,33.40,-1.00,-1.00,-1.00,0.00,0.00,-0.08,0.25,-0.05,0.24,-1.59,7.22,50.11,1.25,2.47,-1.00,-1.00,0.54,93.12,93.12,0.49,61.93,1560,,,,,
4188,Columbus Space Program,Houston,PCHGainesville,1,4.45,0.00,-0.03,-0.03,0.52,0.00,31.16,0.52,-1.00,-1.00,10.39,35.58,-0.37,0.25,0.02,0.33,0.48,0.23,0.00,20.94,1.35,-1.00,-1.00,54.17,0.29,0.20,0.18,33.21,-1.00,-1.00,-1.00,0.00,0.00,-0.09,0.06,-0.11,0.37,-3.21,9.54,52.10,1.04,1.87,-1.00,-1.00,-0.01,99.29,99.29,0.58,67.85,1569,,,,,
1807,Redbird Robotics,St. Louis,MARHatboroHorsham,1,4.83,0.00,-0.22,-0.22,0.12,0.00,7.42,0.12,-1.00,-1.00,2.47,12.03,-0.39,0.11,-0.02,0.33,0.35,0.10,0.00,26.48,0.96,-1.00,-1.00,57.65,0.21,0.14,0.27,31.19,-1.00,-1.00,-1.00,0.00,0.00,-0.04,0.30,0.23,0.81,5.62,21.82,33.90,0.79,1.09,-1.00,-1.00,-0.24,91.49,91.49,0.01,42.73,1551,,,,,
1002,The CircuitRunners,Houston,PCHGainesville,1,2.65,0.00,-0.00,-0.00,0.15,0.00,8.74,0.15,-1.00,-1.00,2.91,11.38,-0.49,-0.74,-0.37,0.33,0.37,0.35,0.00,36.08,1.98,-1.00,-1.00,63.68,0.29,0.23,0.04,27.97,-1.00,-1.00,-1.00,0.00,0.00,0.18,0.17,-0.14,0.04,-2.73,1.78,44.81,1.05,2.12,-1.00,-1.00,-0.37,76.84,76.84,0.52,50.54,1489,,,,,
5113,Combustible Lemons,St. Louis,MARHatboroHorsham,1,3.01,0.00,-0.14,-0.14,0.29,0.00,17.18,0.29,-1.00,-1.00,5.73,20.05,-0.40,-0.40,-0.21,0.33,0.34,0.03,0.00,16.85,0.54,-1.00,-1.00,43.15,0.05,0.48,-0.00,26.51,-1.00,-1.00,-1.00,0.00,0.00,0.23,0.08,-0.14,-0.09,-2.43,-1.97,34.04,0.71,0.83,-1.00,-1.00,-0.35,61.24,61.24,0.18,19.82,1495,,,,,
5332,Toaster Tech,Houston,PCHGainesville,1,2.87,0.00,-0.08,-0.08,-0.14,0.00,-8.54,-0.14,-1.00,-1.00,-2.85,-5.74,-0.52,-0.21,-0.10,0.34,0.26,-0.09,0.00,25.92,0.31,-1.00,-1.00,52.25,0.23,0.13,0.16,26.43,-1.00,-1.00,-1.00,0.00,0.00,-0.05,-0.08,0.09,-0.10,2.06,-2.81,17.38,0.51,0.16,-1.00,-1.00,-0.18,43.70,43.70,0.14,6.13,1439,,,,,
1683,Techno Titans,Houston,PCHGainesville,1,4.09,0.00,-0.05,-0.05,0.14,0.00,8.67,0.14,-1.00,-1.00,2.89,12.70,0.05,-1.64,-0.53,0.34,0.53,0.34,0.00,42.76,2.29,-1.00,-1.00,66.98,0.30,0.15,0.05,24.74,-1.00,-1.00,-1.00,0.00,0.00,0.23,0.15,0.40,0.20,11.12,5.76,51.43,1.21,2.43,-1.00,-1.00,-0.58,85.44,85.44,0.12,19.30,1468,,,,,
423,Simple Machines,St. Louis,MARHatboroHorsham,1,4.18,0.00,-0.10,-0.10,-0.10,0.00,-6.16,-0.10,-1.00,-1.00,-2.05,-2.08,-0.11,-0.66,-0.29,0.33,0.07,0.18,0.00,27.42,0.97,-1.00,-1.00,49.20,0.30,0.06,0.07,22.07,-1.00,-1.00,-1.00,0.00,0.00,0.11,-0.12,-0.20,0.86,-4.50,20.82,21.26,0.58,0.87,-1.00,-1.00,-0.39,67.94,67.94,0.01,2.09,1498,,,,,
