,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,home Championship,event,Week,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
4073,Robo Katz,Houston,Palmetto,1,6.05,0.00,0.12,0.12,-0.02,0.00,-1.40,-0.02,-1.00,-1.00,-0.47,4.77,-0.69,-2.14,-0.65,0.33,0.36,-0.00,0.00,28.71,0.75,-1.00,-1.00,52.66,0.35,0.07,0.08,24.61,0.38,-1.00,-1.00,0.00,0.00,-0.03,0.13,0.31,0.00,7.56,0.65,27.31,0.69,0.73,-1.00,-1.00,-0.54,58.08,58.08,0.26,20.08,1493,,,,,
6036,Peninsula Robotics,Houston,SanFrancisco,3,5.49,-0.02,0.49,0.49,-0.03,0.00,-1.60,-0.03,-1.00,-1.00,-0.53,4.37,-0.52,7.47,2.41,0.35,0.43,0.24,0.00,41.42,1.84,-1.00,-1.00,87.17,0.17,0.12,0.58,43.35,0.75,-1.00,-1.00,0.13,0.00,0.15,-0.04,0.29,-0.23,7.93,-5.95,39.82,1.01,1.81,-1.00,-1.00,2.89,85.59,88.22,0.33,5.46,1474,,,,,
3481,Bronc Botz,Houston,Bayou,4,4.22,-0.01,0.92,0.92,0.47,0.00,27.99,0.47,-1.00,-1.00,9.33,33.13,0.13,1.33,0.39,0.33,0.32,0.16,-0.05,11.94,0.53,-1.00,-1.00,55.68,0.33,0.27,0.26,43.35,0.75,-1.00,-1.00,0.00,-0.05,-0.15,-0.11,0.16,0.12,3.18,2.50,39.93,0.76,0.99,-1.00,-1.00,1.32,91.31,86.46,0.38,13.88,1534,,,,,
1718,The Fighting Pi,St. Louis,MITroy,5,4.02,0.30,-0.46,-0.40,0.09,0.00,5.40,0.09,-1.00,-1.00,1.80,9.02,0.95,-1.83,-0.44,0.35,0.39,0.35,-0.03,38.52,1.90,-1.00,-1.00,90.96,0.54,0.22,0.29,52.88,0.94,-1.00,-1.00,-0.01,-0.03,0.11,0.15,0.05,0.24,1.90,6.79,43.92,1.05,1.99,-1.00,-1.00,-0.84,106.77,103.37,0.55,39.99,1596,,,,,
5827,Code Purple,Houston,PNWAuburnMountainview,1,4.69,-0.02,-0.02,-0.03,0.11,0.00,6.40,0.11,-1.00,-1.00,2.13,11.06,0.97,2.39,0.94,0.35,0.35,0.03,0.00,24.78,0.71,-1.00,-1.00,54.86,0.29,0.02,0.28,29.14,0.47,-1.00,-1.00,0.00,0.00,-0.08,0.18,-0.04,0.18,-1.47,5.46,31.18,0.73,0.82,-1.00,-1.00,0.91,71.38,71.38,0.33,38.44,1526,,,,,
188,Blizzard,St. Louis,ONRyersonUniversity,2,5.90,-0.48,1.57,1.44,0.48,0.00,28.53,0.48,-1.00,-1.00,9.51,35.87,3.77,0.41,0.48,0.34,0.40,0.66,0.00,36.83,2.96,-1.00,-1.00,80.60,0.15,0.39,0.33,43.29,0.75,-1.00,-1.00,0.00,0.00,-0.20,-0.10,0.13,-0.02,2.19,-0.89,65.35,1.40,3.44,-1.00,-1.00,1.92,115.57,115.64,0.46,54.95,1582,,,,,
4014,Top Hat Technicians,Houston,SanDiego,2,4.89,-0.17,-0.83,-0.89,0.10,0.00,6.16,0.10,-1.00,-1.00,2.05,10.15,-12.14,-1.11,-1.61,0.33,0.22,-0.12,0.00,13.22,-0.13,-1.00,-1.00,29.89,0.36,0.07,-0.06,18.28,0.25,-1.00,-1.00,0.00,0.00,0.15,0.06,-0.06,0.31,-0.71,7.99,19.38,0.43,-0.03,-1.00,-1.00,-2.50,48.04,48.04,0.24,0.57,1459,,,,,
3302,TurboTrojans,St. Louis,MITroy,5,4.47,-0.10,1.48,1.47,0.08,0.00,4.81,0.08,-1.00,-1.00,1.60,10.75,-3.68,-0.69,-0.67,0.34,0.41,0.16,0.08,36.11,1.84,-1.00,-1.00,81.20,0.26,0.33,0.32,45.77,0.80,-1.00,-1.00,0.06,0.08,-0.03,0.13,-0.45,0.32,-11.33,8.54,40.92,0.98,1.92,-1.00,-1.00,0.80,100.50,109.63,0.49,37.91,1477,,,,,
4649,HeavyMech,Houston,ISR3,2,4.82,0.00,0.20,0.20,0.10,0.00,5.84,0.10,-1.00,-1.00,1.95,10.86,0.00,-0.55,-0.14,0.33,0.35,0.18,0.00,30.55,1.31,-1.00,-1.00,41.18,0.07,0.20,-0.05,10.77,0.10,-1.00,-1.00,0.01,0.00,0.34,-0.05,0.75,0.18,20.39,4.20,36.40,0.86,1.41,-1.00,-1.00,0.05,56.24,56.41,0.03,-40.32,1328,,,,,
4579,RoboEagles,Houston,PNWAuburn,5,4.73,0.00,0.86,0.86,0.36,0.00,21.76,0.36,-1.00,-1.00,7.25,27.35,0.60,-2.72,-0.91,0.33,0.34,0.08,0.00,15.38,0.62,-1.00,-1.00,45.23,0.11,0.43,0.08,30.76,0.50,-1.00,-1.00,0.08,0.00,0.00,0.25,-0.07,-0.05,-1.63,-0.07,37.14,0.75,0.98,-1.00,-1.00,-0.04,72.51,74.10,0.02,-14.39,1411,,,,,
5407,Wolfpack Robotics,St. Louis,MARSpringsideChestnutHill,3,4.31,0.00,-0.01,-0.01,0.07,0.00,4.26,0.07,-1.00,-1.00,1.42,8.56,-0.17,1.62,0.35,0.33,0.37,0.15,-0.00,31.18,1.25,-1.00,-1.00,77.29,0.34,0.44,0.14,45.76,0.80,-1.00,-1.00,0.00,-0.00,0.15,-0.06,0.05,0.08,2.09,1.84,35.44,0.85,1.32,-1.00,-1.00,0.35,87.69,87.53,0.23,-5.38,1459,,,,,
932,Circuit Chargers,Houston,Oklahoma,4,2.53,0.00,-0.06,-0.06,0.52,0.00,31.15,0.52,-1.00,-1.00,10.38,33.62,-0.20,-0.12,-0.03,0.33,0.29,0.34,0.00,17.93,1.45,-1.00,-1.00,58.03,0.67,0.11,0.03,40.13,0.69,-1.00,-1.00,0.00,0.00,0.03,0.20,-0.04,0.06,-0.73,2.58,49.07,0.97,1.97,-1.00,-1.00,-0.10,94.23,94.23,0.10,20.16,1515,,,,,
5928,MetalBoost,Houston,ISR1,1,3.00,0.00,-0.54,-0.54,0.09,0.00,5.46,0.09,-1.00,-1.00,1.82,7.92,0.15,-2.85,-0.99,0.33,0.30,-0.16,0.00,14.97,-0.16,-1.00,-1.00,42.80,0.26,0.47,-0.16,28.83,0.46,-1.00,-1.00,-0.02,0.00,0.21,0.15,0.38,-0.09,10.57,-1.41,20.43,0.47,-0.07,-1.00,-1.00,-1.53,49.32,48.89,0.27,0.67,1391,,,,,
6237,Martin Motion,St. Louis,CentralIllinois,3,5.43,0.06,0.26,0.28,-0.04,0.00,-2.26,-0.04,-1.00,-1.00,-0.75,3.45,-1.07,1.21,0.33,0.33,0.30,0.08,0.00,30.19,0.97,-1.00,-1.00,65.41,0.10,0.40,0.20,34.90,0.58,-1.00,-1.00,0.04,0.00,0.10,0.13,0.18,0.32,4.94,8.71,27.93,0.72,0.93,-1.00,-1.00,0.61,77.58,78.31,0.34,16.10,1497,,,,,
329,Mohawks,St. Louis,SBPLILongIsland,5,5.27,0.04,3.68,3.68,0.11,-0.02,5.08,0.08,-1.00,-1.00,1.69,14.03,0.42,-0.54,-0.14,0.33,0.32,0.22,-0.06,28.94,1.06,-1.00,-1.00,81.73,0.37,0.36,0.33,52.94,0.94,-1.00,-1.00,0.00,-0.06,0.75,-0.11,0.05,0.22,4.95,5.06,34.02,0.81,1.15,-1.00,-1.00,3.54,100.83,95.04,0.15,-6.69,1525,,,,,
4179,Tahisco Techs,Houston,LoneStarCentral,3,3.70,0.00,1.35,1.35,-0.08,0.00,-4.96,-0.08,-1.00,-1.00,-1.65,0.09,1.81,-3.77,-1.07,0.33,0.15,-0.17,0.00,15.94,-0.29,-1.00,-1.00,30.56,-0.16,0.43,0.05,15.69,0.20,-1.00,-1.00,0.01,0.00,0.11,-0.07,0.02,0.03,1.11,0.46,10.98,0.32,-0.37,-1.00,-1.00,0.28,31.11,31.38,0.13,-2.92,1408,,,,,
2679,Tiger Team,Houston,ISRChampionship,4,5.30,0.18,1.23,1.23,0.37,0.00,21.92,0.37,-1.00,-1.00,7.31,28.46,-0.01,2.87,0.92,0.33,0.33,0.43,-0.09,25.57,1.46,-1.00,-1.00,73.09,0.44,0.24,0.25,46.60,0.82,-1.00,-1.00,-0.01,-0.09,0.13,0.47,0.46,0.01,12.16,2.67,47.49,1.00,1.83,-1.00,-1.00,2.16,104.22,94.59,0.20,-3.24,1484,,,,,
4146,Sabercats,Houston,ArizonaNorth,2,4.19,-0.01,-0.11,-0.11,0.18,0.00,11.03,0.18,-1.00,-1.00,3.68,15.11,0.36,2.47,0.73,0.33,0.46,-0.23,0.00,14.94,-0.21,-1.00,-1.00,42.41,0.10,0.26,0.17,26.74,0.42,-1.00,-1.00,0.00,0.00,0.27,-0.10,-0.12,0.04,-1.55,0.61,25.98,0.56,-0.02,-1.00,-1.00,0.62,58.13,58.13,0.26,0.55,1488,,,,,
95,Grasshoppers,St. Louis,NEGreaterBoston,3,5.32,0.58,0.42,0.56,0.04,0.00,2.29,0.04,-1.00,-1.00,0.76,8.17,0.46,3.31,1.14,0.33,0.35,0.63,0.09,54.43,3.71,-1.00,-1.00,92.81,0.16,0.30,0.28,37.24,0.63,-1.00,-1.00,0.07,0.09,0.25,0.02,-0.03,0.11,0.50,2.84,56.71,1.40,3.75,-1.00,-1.00,1.70,103.83,114.06,0.11,27.91,1565,,,,,
564,Longwood Robotics,St. Louis,SBPLILongIsland,5,4.76,1.27,-0.26,0.08,0.25,-0.03,13.06,0.22,-1.00,-1.00,4.35,17.91,3.65,0.21,0.38,0.33,0.25,-0.12,0.01,10.22,-0.15,-1.00,-1.00,51.26,0.11,0.42,0.29,40.66,0.70,-1.00,-1.00,0.00,0.01,-0.15,0.19,0.39,0.17,9.00,5.20,23.29,0.47,0.07,-1.00,-1.00,0.46,74.37,75.13,0.16,-14.44,1418,,,,,
3876,Mabton LugNutz,Houston,PNWAuburn,5,5.70,-0.02,-0.22,-0.22,0.21,0.00,12.60,0.21,-1.00,-1.00,4.20,18.07,-0.09,-4.20,-1.34,0.33,0.34,0.33,-0.08,28.77,1.35,-1.00,-1.00,37.26,0.27,-0.15,0.07,9.82,0.08,-1.00,-1.00,-0.02,-0.08,-0.01,0.06,0.02,0.35,0.42,9.11,41.38,0.93,1.56,-1.00,-1.00,-1.56,64.45,56.56,0.06,10.93,1410,,,,,
2992,The S.S. Prometheus,Houston,ArkansasRockCity,2,4.45,0.00,0.74,0.74,0.63,0.00,37.76,0.63,-1.00,-1.00,12.59,42.95,0.44,-0.83,-0.28,0.33,0.34,0.28,0.00,12.75,1.16,-1.00,-1.00,55.63,0.36,0.35,0.16,43.16,0.75,-1.00,-1.00,0.00,0.00,-0.00,0.14,0.12,-0.09,3.03,-1.64,50.51,0.95,1.79,-1.00,-1.00,0.47,96.95,96.95,0.50,58.76,1560,,,,,
6464,Danger Noodle Danger,Houston,Oklahoma,4,5.03,0.00,0.13,0.13,-0.02,0.00,-1.03,-0.02,-1.00,-1.00,-0.34,4.14,-0.17,-0.00,-0.00,0.33,0.20,-0.11,0.00,17.50,-0.03,-1.00,-1.00,29.39,0.05,0.01,0.18,11.89,0.13,-1.00,-1.00,0.00,0.00,-0.26,-0.05,0.23,0.09,4.36,1.94,16.48,0.42,-0.04,-1.00,-1.00,0.13,35.46,35.46,0.15,-21.09,1349,,,,,
4132,Scotbots,Houston,PNWLakeOswego,5,5.35,0.00,0.40,0.40,-0.02,0.00,-1.22,-0.02,-1.00,-1.00,-0.41,4.54,0.73,1.39,0.57,0.33,0.32,0.07,0.00,30.05,0.98,-1.00,-1.00,36.26,0.09,0.03,-0.00,5.64,0.00,-1.00,-1.00,0.00,0.00,0.22,-0.10,-0.18,0.08,-3.46,1.45,28.83,0.73,0.96,-1.00,-1.00,0.98,42.24,42.70,-0.04,-15.38,1333,,,,,
3482,Arrowbotics,Houston,SanFrancisco,3,4.34,0.01,-0.77,-0.77,0.06,0.00,3.34,0.06,-1.00,-1.00,1.11,6.90,3.81,-5.14,-1.39,0.33,0.29,-0.00,0.00,22.63,0.52,-1.00,-1.00,41.85,0.08,0.15,0.19,20.61,0.30,-1.00,-1.00,-0.05,0.00,-0.02,0.02,-0.21,0.36,-5.36,9.20,25.97,0.62,0.57,-1.00,-1.00,-2.17,57.95,57.01,0.11,-14.00,1435,,,,,
287,Floyd,St. Louis,SBPLILongIsland,5,4.13,0.35,0.23,0.39,0.15,-0.00,8.71,0.15,-1.00,-1.00,2.90,13.23,-0.60,0.15,0.01,0.33,0.36,0.56,0.04,45.81,3.03,-1.00,-1.00,97.25,0.31,0.39,0.33,51.43,0.92,-1.00,-1.00,0.00,0.04,-0.21,0.03,0.29,0.22,6.13,5.55,54.52,1.29,3.17,-1.00,-1.00,0.40,116.03,119.60,0.49,54.85,1535,,,,,
6075,Leland Zebrotics,St. Louis,MIEscanaba,3,4.79,6.34,-0.01,1.91,0.36,0.00,21.55,0.36,-1.00,-1.00,7.18,28.25,-1.72,0.72,0.06,0.33,0.38,0.02,0.00,15.04,0.49,-1.00,-1.00,56.81,0.34,0.29,0.20,41.71,0.72,-1.00,-1.00,0.00,0.00,-0.14,0.25,0.01,0.15,-0.38,4.94,36.59,0.74,0.85,-1.00,-1.00,1.97,90.01,90.01,0.43,49.36,1521,,,,,
1885,ILITE Robotics,St. Louis,CHSGreaterDC,2,3.47,0.00,0.00,0.00,0.43,0.00,25.56,0.43,-1.00,-1.00,8.52,29.04,-0.03,0.06,-0.03,0.33,0.46,0.51,0.00,35.10,2.53,-1.00,-1.00,77.51,0.17,0.33,0.35,42.44,0.74,-1.00,-1.00,0.00,0.00,0.08,0.25,0.42,-0.16,10.96,-2.69,60.66,1.30,2.95,-1.00,-1.00,-0.03,103.86,103.86,0.43,76.56,1633,,,,,
226,Hammerheads,St. Louis,INSt.Joseph,2,2.84,0.00,0.45,0.45,-0.15,0.00,-8.78,-0.15,-1.00,-1.00,-2.93,-5.48,-0.14,-0.52,-0.30,0.33,0.27,0.08,0.00,33.10,1.00,-1.00,-1.00,63.39,0.31,0.23,0.07,30.59,0.50,-1.00,-1.00,0.00,0.00,0.17,0.11,0.13,0.17,4.13,4.67,24.32,0.68,0.85,-1.00,-1.00,0.15,62.58,62.58,0.04,-29.72,1435,,,,,
5119,Team STEAM,St. Louis,GreaterKansasCity,3,4.04,0.00,-0.44,-0.44,-0.02,0.00,-1.20,-0.02,-1.00,-1.00,-0.40,2.40,-0.37,1.85,0.52,0.33,0.38,0.19,-0.01,36.45,1.47,-1.00,-1.00,87.00,0.54,0.14,0.32,50.03,0.89,-1.00,-1.00,-0.09,-0.01,-0.07,-0.03,0.44,0.16,10.56,3.79,35.25,0.89,1.45,-1.00,-1.00,0.08,93.19,90.30,0.28,-12.46,1433,,,,,
3740,Storm Robotics,St. Louis,LakeSuperior,1,3.60,0.00,0.37,0.37,0.70,0.00,42.12,0.70,-1.00,-1.00,14.04,46.09,0.07,3.24,1.17,0.33,0.19,0.05,0.01,-4.82,0.03,-1.00,-1.00,26.93,0.40,0.29,-0.08,30.58,0.50,-1.00,-1.00,0.00,0.01,0.05,0.31,0.13,0.26,3.57,8.07,37.30,0.58,0.74,-1.00,-1.00,1.54,81.08,82.10,0.29,31.10,1482,,,,,
539,Titan Robotics,St. Louis,CHSCentralValley,4,3.83,-0.38,0.08,-0.01,0.17,0.00,10.05,0.17,-1.00,-1.00,3.35,13.87,-0.81,3.22,0.94,0.33,0.09,0.00,-0.02,9.43,-0.02,-1.00,-1.00,20.11,-0.01,0.17,0.04,9.74,0.08,-1.00,-1.00,0.00,-0.02,0.16,-0.03,-0.01,-0.05,0.49,-1.35,19.47,0.40,0.14,-1.00,-1.00,0.93,32.63,30.77,-0.14,-66.82,1299,,,,,
2883,F.R.E.D (Fighting Rednecks Engineering and Design),St. Louis,NorthernLights,1,4.44,0.00,-0.16,-0.16,0.16,0.00,9.31,0.16,-1.00,-1.00,3.10,13.58,0.21,3.87,1.22,0.33,0.44,0.28,-0.01,35.90,1.82,-1.00,-1.00,80.20,0.31,0.35,0.20,43.07,0.75,-1.00,-1.00,0.00,-0.01,0.09,-0.05,0.42,0.49,10.99,11.92,45.21,1.05,1.97,-1.00,-1.00,1.05,105.69,104.88,0.49,32.94,1547,,,,,
6375,MC²,Houston,Shenzhen,2,4.70,0.00,-0.03,-0.03,0.18,0.00,10.97,0.18,-1.00,-1.00,3.66,15.63,0.00,0.22,-0.03,0.33,0.20,-0.11,0.00,9.64,-0.22,-1.00,-1.00,35.17,0.40,0.04,0.07,25.56,0.40,-1.00,-1.00,0.01,0.00,-0.15,0.19,0.23,0.08,4.95,3.05,20.61,0.42,-0.04,-1.00,-1.00,-0.07,53.86,53.98,0.12,-9.67,1357,,,,,
649,M-SET Fish,Houston,Sacramento,4,5.85,-0.10,-0.94,-0.97,0.54,0.00,32.45,0.54,-1.00,-1.00,10.82,37.34,0.14,-14.06,-4.66,0.33,0.43,0.40,0.00,24.65,1.90,-1.00,-1.00,66.45,0.20,0.44,0.29,46.46,0.82,-1.00,-1.00,-0.05,0.00,0.05,-0.02,0.09,0.12,2.50,2.94,57.11,1.16,2.44,-1.00,-1.00,-5.63,106.73,105.72,0.13,6.61,1531,,,,,
5928,MetalBoost,Houston,ISR3,2,6.00,0.00,0.04,0.04,0.22,0.00,13.10,0.22,-1.00,-1.00,4.37,19.14,0.00,1.72,0.58,0.33,0.35,0.36,0.00,32.70,1.90,-1.00,-1.00,85.50,0.23,0.27,0.55,52.22,0.93,-1.00,-1.00,0.02,0.00,-0.13,0.02,0.09,0.11,1.57,2.78,45.80,1.04,2.12,-1.00,-1.00,0.62,107.42,107.92,0.48,52.90,1506,,,,,
1350,The Rambots,St. Louis,NEWPI,2,4.41,0.00,-0.70,-0.70,-0.03,0.00,-1.64,-0.03,-1.00,-1.00,-0.55,2.07,0.79,2.85,0.93,0.32,0.36,0.07,-0.02,30.53,0.90,-1.00,-1.00,63.67,0.33,0.08,0.24,32.21,0.53,-1.00,-1.00,0.00,-0.02,0.17,0.10,0.07,0.52,2.57,13.54,28.89,0.74,0.87,-1.00,-1.00,0.23,79.28,77.29,0.16,12.83,1475,,,,,
5998,E.A.R.L and the Chillbots,St. Louis,LakeSuperior,1,1.21,-0.19,0.02,-0.04,0.41,0.00,24.49,0.41,-1.00,-1.00,8.16,25.66,-0.63,-0.55,-0.23,0.33,0.10,0.01,-0.04,-0.21,-0.31,-1.00,-1.00,17.61,0.05,0.12,0.20,18.04,0.25,-1.00,-1.00,0.00,-0.04,-0.14,0.14,0.10,-0.00,1.76,0.64,24.28,0.40,0.10,-1.00,-1.00,-0.27,43.91,39.83,0.28,8.77,1455,,,,,
6513,Wyverns Robotics,St. Louis,ONDurhamCollege,1,3.07,0.02,0.01,0.03,0.43,0.00,25.87,0.43,-1.00,-1.00,8.62,28.96,0.34,-0.97,-0.27,0.34,0.22,0.01,0.00,5.63,0.06,-1.00,-1.00,37.57,0.10,0.24,0.30,32.21,0.53,-1.00,-1.00,0.00,0.00,-0.30,0.30,0.23,0.01,4.36,1.77,31.50,0.57,0.49,-1.00,-1.00,-0.24,68.30,68.30,0.35,19.90,1446,,,,,
4131,Iron Patriots,Houston,PNWAuburn,5,4.82,0.08,-0.11,-0.11,0.46,0.00,27.34,0.46,-1.00,-1.00,9.11,32.04,0.18,0.32,0.08,0.33,0.34,0.25,0.03,19.95,1.41,-1.00,-1.00,62.40,0.07,0.41,0.36,42.37,0.74,-1.00,-1.00,-0.01,0.03,-0.05,0.04,-0.13,0.07,-3.58,2.08,47.29,0.95,1.87,-1.00,-1.00,-0.03,96.52,99.44,0.35,26.17,1456,,,,,
4020,Cyber Tribe,Houston,Palmetto,1,4.79,0.00,-0.03,-0.03,0.73,0.00,43.89,0.73,-1.00,-1.00,14.63,48.65,-1.73,3.40,0.95,0.33,0.62,0.36,0.00,23.59,1.94,-1.00,-1.00,75.07,0.32,0.40,0.29,50.52,0.90,-1.00,-1.00,0.00,0.00,0.03,-0.06,0.11,-0.09,2.97,-2.60,67.48,1.32,2.67,-1.00,-1.00,0.92,121.12,121.12,0.27,44.80,1547,,,,,
5980,East Grand Rapids Robotics,St. Louis,MILakeview,1,6.03,0.12,0.34,0.35,0.02,0.00,1.10,0.02,-1.00,-1.00,0.37,7.48,-0.50,0.65,0.09,0.33,0.40,-0.10,0.00,24.27,0.37,-1.00,-1.00,64.26,0.24,0.16,0.40,39.90,0.69,-1.00,-1.00,0.00,0.00,-0.02,0.33,0.50,-0.03,12.37,0.86,25.37,0.63,0.39,-1.00,-1.00,0.44,72.60,72.60,0.36,33.47,1520,,,,,
2359,RoboLobos,Houston,Oklahoma,4,5.62,0.00,0.51,0.51,0.48,0.00,28.58,0.48,-1.00,-1.00,9.53,34.71,-0.30,0.18,-0.11,0.33,0.35,0.49,0.00,27.93,2.18,-1.00,-1.00,80.00,0.31,0.49,0.24,52.18,0.93,-1.00,-1.00,0.00,0.00,-0.18,0.15,-0.19,-0.17,-5.69,-3.58,56.50,1.17,2.66,-1.00,-1.00,0.40,111.13,111.13,0.46,60.23,1564,,,,,
272,Cyber-Crusaders,St. Louis,MARSeneca,4,4.30,-0.11,0.40,0.36,0.19,0.00,11.24,0.19,-1.00,-1.00,3.75,15.90,-1.54,0.96,0.24,0.33,0.35,0.54,0.06,43.66,3.02,-1.00,-1.00,93.51,0.46,0.50,0.04,49.61,0.88,-1.00,-1.00,0.00,0.06,0.09,0.00,0.04,0.09,1.34,2.26,54.91,1.28,3.21,-1.00,-1.00,0.60,111.67,117.77,0.35,12.33,1512,,,,,
2075,Enigma Robotics,St. Louis,MIGaylord,3,3.37,0.00,0.91,0.91,-0.03,0.00,-1.82,-0.03,-1.00,-1.00,-0.61,2.47,-0.01,23.34,7.44,0.33,0.23,-0.14,-0.02,17.03,-0.22,-1.00,-1.00,76.83,0.38,0.41,0.26,52.35,0.94,-1.00,-1.00,0.00,-0.02,-0.02,0.12,-0.10,0.60,-2.54,15.58,15.22,0.40,-0.25,-1.00,-1.00,8.35,94.87,92.68,0.50,70.21,1540,,,,,
3083,Artemis,Houston,ISR1,1,1.84,0.00,-1.08,-1.08,0.23,0.00,13.76,0.23,-1.00,-1.00,4.59,14.51,0.18,0.26,-0.02,0.33,0.23,-0.10,0.00,9.48,-0.09,-1.00,-1.00,41.85,0.50,-0.11,0.26,32.39,0.54,-1.00,-1.00,-0.00,0.00,-0.12,0.13,0.25,0.19,5.72,5.30,23.24,0.47,0.14,-1.00,-1.00,-1.10,61.67,61.66,0.16,-1.05,1412,,,,,
33,Killer Bees,St. Louis,MIWaterford,3,4.17,0.00,7.59,7.59,0.10,-0.02,5.30,0.09,-1.00,-1.00,1.77,17.06,-0.08,19.38,6.36,0.33,0.38,0.60,0.16,55.26,4.01,-1.00,-1.00,114.46,0.31,0.39,0.37,52.84,0.95,-1.00,-1.00,0.00,0.16,0.06,0.20,0.12,0.12,3.23,4.11,60.56,1.47,4.10,-1.00,-1.00,13.94,135.63,151.61,0.41,78.16,1676,,,,,
6558,Aluminum Sting,St. Louis,MILakeSuperiorStateUniversity,5,5.08,0.00,-0.11,-0.11,0.03,0.00,1.52,0.03,-1.00,-1.00,0.51,6.48,0.57,-0.04,0.08,0.33,0.33,0.55,-0.03,46.25,2.63,-1.00,-1.00,95.12,0.25,0.42,0.31,48.79,0.87,-1.00,-1.00,0.00,-0.03,0.14,-0.05,0.08,-0.08,2.73,-2.29,47.76,1.18,2.66,-1.00,-1.00,-0.03,99.31,96.03,0.43,20.52,1446,,,,,
3487,Red Pride Robotics,St. Louis,INTippecanoe,1,4.03,-0.00,1.23,1.23,0.01,0.00,0.61,0.01,-1.00,-1.00,0.20,5.86,0.28,-1.59,-0.54,0.33,0.02,0.18,-0.01,20.68,0.71,-1.00,-1.00,54.76,0.14,0.22,0.34,34.62,0.58,-1.00,-1.00,0.00,-0.01,0.11,0.18,-0.02,0.21,0.00,6.07,21.28,0.53,0.72,-1.00,-1.00,0.69,66.69,66.08,-0.13,-18.87,1434,,,,,
5150,Hybrid Hornets,St. Louis,MIKetteringUniversity1,1,4.36,-0.02,0.15,0.15,0.12,0.00,7.24,0.12,-1.00,-1.00,2.41,11.75,0.50,-0.51,-0.06,0.34,0.35,0.48,0.00,41.86,2.50,-1.00,-1.00,91.70,0.44,0.13,0.43,49.90,0.89,-1.00,-1.00,0.00,0.00,0.13,0.18,0.01,0.03,0.91,1.65,49.10,1.17,2.62,-1.00,-1.00,0.10,105.11,105.11,0.29,50.67,1611,,,,,
5710,The O-Bots,St. Louis,MIAnnArborPioneer,2,3.50,0.00,0.00,0.00,-0.06,0.00,-3.89,-0.06,-1.00,-1.00,-1.30,-0.39,0.30,-0.55,-0.13,0.25,0.20,-0.01,0.00,20.28,0.34,-1.00,-1.00,38.09,0.10,0.14,0.12,17.94,0.25,-1.00,-1.00,0.00,0.00,0.17,-0.21,0.23,0.35,6.66,7.73,16.40,0.44,0.27,-1.00,-1.00,-0.13,45.43,45.43,0.07,-17.28,1424,,,,,
3276,TOOLCATS,St. Louis,LakeSuperior,1,-0.87,0.11,5.33,5.37,-0.04,0.00,-2.24,-0.04,-1.00,-1.00,-0.75,2.26,0.33,2.50,0.73,0.33,0.32,0.21,-0.02,35.59,1.41,-1.00,-1.00,60.50,0.04,0.17,0.27,24.18,0.38,-1.00,-1.00,0.00,-0.02,-0.02,0.44,-0.00,0.23,-0.12,8.08,33.35,0.85,1.37,-1.00,-1.00,6.10,70.84,69.33,0.10,13.75,1500,,,,,
3230,PrototypeX,Houston,Utah,2,4.25,0.00,0.62,0.62,0.19,0.00,11.70,0.19,-1.00,-1.00,3.90,16.57,22.41,1.64,2.81,0.36,0.37,-0.08,0.00,17.80,0.22,-1.00,-1.00,67.70,0.27,0.41,0.26,47.09,0.83,-1.00,-1.00,-0.01,0.00,0.01,0.30,-0.15,0.52,-3.62,14.59,29.49,0.64,0.42,-1.00,-1.00,3.43,98.85,98.67,0.53,77.03,1586,,,,,
6032,Pirate Robotics,St. Louis,MiamiValley,2,3.31,0.00,-0.39,-0.39,0.22,0.00,12.94,0.22,-1.00,-1.00,4.31,15.86,-0.02,0.11,0.01,0.33,0.39,-0.07,0.01,17.80,0.31,-1.00,-1.00,45.95,0.23,0.42,-0.09,28.14,0.45,-1.00,-1.00,0.00,0.01,-0.17,-0.01,0.18,-0.12,3.52,-3.05,30.75,0.66,0.52,-1.00,-1.00,-0.39,58.76,59.36,-0.04,-19.66,1415,,,,,
