MARChampionship,mrcmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
223,Xtreme Heat,3,5.31,0.33,0.41,0.52,0.32,0.00,19.41,0.32,-1.00,-1.00,6.47,25.24,-0.01,-2.87,-1.06,0.33,0.33,0.37,-0.05,26.43,1.52,-1.00,-1.00,59.07,0.15,0.27,0.26,33.70,0.65,-1.00,-1.00,-0.02,-0.05,-0.01,0.21,-0.01,0.02,-0.21,1.65,45.84,0.98,1.85,-1.00,-1.00,-0.54,85.97,80.52,0.15,1.12,1524,,,,,
225,TechFire,3,4.87,-0.23,9.24,9.19,0.08,0.00,4.74,0.08,-1.00,-1.00,1.58,18.80,-0.03,36.44,11.89,0.33,0.25,0.38,0.07,38.59,2.41,-1.00,-1.00,82.02,0.38,0.12,0.13,31.54,0.79,-1.00,-1.00,0.17,0.07,-0.00,0.13,0.18,0.22,4.45,6.20,43.33,1.04,2.49,-1.00,-1.00,21.08,107.02,117.84,0.37,25.40,1551,,,,,
272,Cyber-Crusaders,3,4.30,-0.11,0.40,0.36,0.19,0.00,11.24,0.19,-1.00,-1.00,3.75,15.90,-1.54,0.96,0.24,0.33,0.35,0.54,0.06,43.66,3.02,-1.00,-1.00,93.51,0.46,0.50,0.04,49.61,0.88,-1.00,-1.00,0.00,0.06,0.09,0.00,0.04,0.09,1.34,2.26,54.91,1.28,3.21,-1.00,-1.00,0.60,111.67,117.77,0.35,12.33,1512,,,,,
293,Team S.P.I.K.E.,3,4.88,0.76,-0.19,0.06,0.51,0.00,30.70,0.51,-1.00,-1.00,10.23,35.64,20.13,-0.19,2.00,0.33,0.35,0.28,0.10,21.82,1.88,-1.00,-1.00,55.90,0.27,0.08,0.29,32.08,0.86,-1.00,-1.00,0.00,0.10,0.23,0.09,-0.22,0.21,-4.34,5.69,52.52,1.06,2.39,-1.00,-1.00,2.06,97.23,106.75,0.38,56.16,1602,,,,,
303,The T.E.S.T. Team,3,4.09,-0.07,3.33,3.30,0.35,0.00,21.17,0.35,-1.00,-1.00,7.06,28.56,0.15,17.59,5.62,0.33,0.33,0.35,0.11,30.73,2.35,-1.00,-1.00,103.27,0.39,0.56,0.39,66.91,0.93,-1.00,-1.00,0.08,0.11,0.10,-0.08,0.08,0.20,2.58,4.51,51.90,1.12,2.71,-1.00,-1.00,8.92,136.34,148.90,0.43,50.25,1611,,,,,
316,LuNaTeCs,3,5.60,-0.10,0.35,0.32,0.07,0.00,4.32,0.07,-1.00,-1.00,1.44,10.24,0.94,2.78,0.93,0.33,0.35,0.45,-0.02,41.40,2.28,-1.00,-1.00,86.56,0.16,0.25,0.48,44.23,0.79,-1.00,-1.00,0.00,-0.02,-0.05,0.17,0.15,-0.03,3.52,0.08,45.72,1.11,2.35,-1.00,-1.00,1.25,96.87,94.49,0.26,5.99,1526,,,,,
341,Miss Daisy,3,4.70,0.00,0.14,0.14,0.52,0.00,30.91,0.52,-1.00,-1.00,10.30,35.75,-0.03,4.52,1.38,0.33,0.38,0.37,0.08,25.93,2.20,-1.00,-1.00,58.07,0.06,0.23,0.32,30.75,0.79,-1.00,-1.00,-0.03,0.08,0.66,0.02,-0.03,-0.00,2.57,0.09,56.84,1.16,2.71,-1.00,-1.00,1.52,93.91,101.59,0.12,16.62,1554,,,,,
365,Miracle Workerz,3,5.14,-0.16,1.87,1.82,0.43,0.00,25.69,0.43,-1.00,-1.00,8.56,32.65,-1.44,4.30,1.04,0.33,0.34,0.48,-0.04,27.23,1.91,-1.00,-1.00,85.03,0.56,0.32,0.25,56.76,0.95,-1.00,-1.00,0.00,-0.04,0.44,-0.02,0.14,-0.06,5.57,-1.58,52.92,1.11,2.34,-1.00,-1.00,2.87,116.09,111.80,0.46,17.83,1580,,,,,
433,Firebirds,3,5.63,0.00,1.57,1.57,-0.09,0.00,-5.61,-0.09,-1.00,-1.00,-1.87,1.59,0.15,4.72,1.47,0.33,0.36,0.25,-0.01,40.91,1.73,-1.00,-1.00,90.55,0.39,0.10,0.47,48.16,0.88,-1.00,-1.00,0.07,-0.01,-0.13,0.44,-0.10,0.09,-3.06,4.54,35.30,0.93,1.64,-1.00,-1.00,3.04,96.68,96.85,0.13,27.68,1554,,,,,
486,Positronic Panthers,3,5.23,0.00,-0.12,-0.12,0.28,0.00,16.81,0.28,-1.00,-1.00,5.60,21.92,-0.16,0.15,-0.01,0.33,0.37,0.33,-0.00,29.82,1.74,-1.00,-1.00,68.05,0.15,0.35,0.26,38.24,0.81,-1.00,-1.00,-0.00,-0.00,-0.01,0.17,0.21,0.03,5.16,1.64,46.63,1.03,2.02,-1.00,-1.00,-0.13,91.61,91.21,-0.03,-2.11,1487,,,,,
