ArizonaWest,azpx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1726,N.E.R.D.S. (Nifty Engineering Robotics Design Squad),3,5.54,-0.01,-1.50,-1.50,-0.03,0.00,-1.65,-0.03,-1.00,-1.00,-0.55,2.39,-0.48,-2.13,-0.68,0.36,0.46,-0.04,0.00,32.02,0.80,-1.00,-1.00,71.14,0.21,0.46,0.12,39.80,0.69,-1.00,-1.00,-0.04,0.00,0.27,-0.10,-0.08,0.30,-0.61,6.97,30.37,0.77,0.78,-1.00,-1.00,-2.18,80.50,79.64,0.44,41.59,1540,,,,,
2375,Dragon Robotics,3,6.37,-0.00,0.80,0.80,-0.06,0.00,-3.85,-0.06,-1.00,-1.00,-1.28,3.31,-1.44,-0.84,-0.43,0.33,0.24,0.07,0.00,28.16,0.81,-1.00,-1.00,54.80,0.29,-0.11,0.36,27.06,0.64,-1.00,-1.00,0.00,0.00,0.03,0.59,0.75,0.16,19.00,6.96,24.31,0.64,0.74,-1.00,-1.00,0.37,65.08,65.08,0.12,-17.10,1448,,,,,
2403,Plasma Robotics,3,3.92,0.00,0.31,0.31,0.31,0.00,18.57,0.31,-1.00,-1.00,6.19,22.80,-1.05,-0.26,-0.12,0.32,0.34,0.42,0.00,30.99,2.15,-1.00,-1.00,55.41,0.27,-0.01,0.23,24.54,0.86,-1.00,-1.00,-0.00,0.00,0.11,0.03,0.27,0.63,7.24,15.88,49.56,1.08,2.46,-1.00,-1.00,0.19,94.09,94.01,0.54,40.69,1546,,,,,
2449,Out of Orbit Robotics,2,4.25,0.11,0.36,0.37,0.13,0.00,7.75,0.13,-1.00,-1.00,2.58,11.89,0.75,2.04,0.67,0.34,0.32,0.12,0.01,27.14,1.01,-1.00,-1.00,48.23,0.17,0.17,0.16,22.25,-1.00,-1.00,-1.00,0.00,0.01,0.03,0.14,0.03,0.16,1.06,4.38,32.52,0.76,1.10,-1.00,-1.00,0.94,61.03,61.22,0.21,8.37,1454,,,,,
2478,Westwood Robotics,3,3.13,0.00,0.19,0.19,-0.07,0.00,-4.45,-0.07,-1.00,-1.00,-1.48,-1.12,-0.08,5.79,1.78,0.33,0.16,-0.02,0.00,21.79,0.31,-1.00,-1.00,54.70,0.22,0.09,0.31,31.12,0.62,-1.00,-1.00,0.00,0.00,-0.11,0.24,-0.16,-0.15,-4.62,-2.67,17.35,0.47,0.23,-1.00,-1.00,1.97,50.91,50.91,0.00,6.44,1433,,,,,
2647,Cyborg Mustangs,3,1.41,0.09,0.36,0.36,-0.25,0.00,-14.92,-0.25,-1.00,-1.00,-4.97,-13.15,0.37,-1.35,-0.43,0.33,0.06,-0.05,0.00,23.63,0.16,-1.00,-1.00,23.91,-0.04,-0.04,0.10,0.71,0.09,-1.00,-1.00,0.00,0.00,0.32,-0.03,0.23,0.01,7.24,0.07,8.72,0.34,-0.08,-1.00,-1.00,-0.08,10.83,10.83,-0.33,-91.44,1323,,,,,
2662,Robo Krew,2,3.84,0.02,0.14,0.14,0.08,0.00,4.92,0.08,-1.00,-1.00,1.64,8.96,0.29,0.96,0.32,0.33,0.28,0.08,0.00,24.23,0.80,-1.00,-1.00,42.24,0.12,0.12,0.11,17.49,-1.00,-1.00,-1.00,-0.00,0.00,0.09,0.08,0.10,0.08,2.91,2.54,29.42,0.69,0.88,-1.00,-1.00,0.47,54.13,54.23,0.16,-0.94,1460,,,,,
2840,Blue Tide,2,2.55,-0.26,-0.58,-0.57,-0.07,0.00,-3.98,-0.07,-1.00,-1.00,-1.33,-0.29,-1.16,-2.43,-0.80,0.30,0.17,-0.07,-0.02,15.09,0.13,-1.00,-1.00,23.41,-0.05,-0.05,-0.05,2.51,-1.00,-1.00,-1.00,-0.01,-0.02,0.29,-0.12,0.33,-0.14,8.72,-3.27,19.68,0.48,0.19,-1.00,-1.00,-1.01,32.42,32.24,-0.01,-30.23,1354,,,,,
2844,Stampede Robotics,2,2.71,-0.23,-0.49,-0.48,-0.05,0.00,-2.83,-0.05,-1.00,-1.00,-0.94,0.90,-0.98,-2.00,-0.65,0.31,0.18,-0.05,-0.02,16.27,0.21,-1.00,-1.00,25.84,-0.03,-0.03,-0.03,4.44,-1.00,-1.00,-1.00,-0.01,-0.02,0.26,-0.09,0.30,-0.11,7.97,-2.52,20.94,0.51,0.28,-1.00,-1.00,-0.82,35.22,35.08,0.02,-26.46,1382,,,,,
3019,Firebirds,3,4.99,-0.02,-0.07,-0.07,0.11,0.00,6.64,0.11,-1.00,-1.00,2.21,11.55,-1.41,0.27,-0.19,0.33,0.34,-0.09,0.00,18.84,0.21,-1.00,-1.00,35.05,-0.05,0.41,-0.03,16.40,0.60,-1.00,-1.00,0.00,0.00,0.15,0.34,-0.12,-0.23,-2.28,-3.95,25.48,0.58,0.32,-1.00,-1.00,-0.26,42.65,42.65,0.14,-12.41,1469,,,,,
3133,Coronado Robotics,2,4.48,0.17,0.49,0.50,0.16,0.00,9.33,0.16,-1.00,-1.00,3.11,13.54,1.01,2.64,0.87,0.34,0.34,0.15,0.01,28.77,1.13,-1.00,-1.00,51.58,0.20,0.20,0.19,24.91,-1.00,-1.00,-1.00,0.01,0.01,-0.00,0.18,-0.01,0.20,0.03,5.41,34.25,0.80,1.23,-1.00,-1.00,1.20,64.88,65.13,0.24,13.57,1458,,,,,
3187,Arcadia Titan Robotics,3,3.11,-0.01,-0.15,-0.15,0.07,0.00,4.13,0.07,-1.00,-1.00,1.38,7.08,2.38,-0.44,0.09,0.33,0.38,0.23,0.00,34.95,1.60,-1.00,-1.00,17.53,-0.19,-0.12,-0.04,-17.51,0.09,-1.00,-1.00,0.00,0.00,0.08,0.13,0.17,0.13,4.77,4.02,39.08,0.94,1.67,-1.00,-1.00,-0.07,28.64,28.64,-0.06,-23.51,1451,,,,,
3255,Super NURDs,3,2.26,0.11,0.66,0.71,0.09,0.00,5.36,0.09,-1.00,-1.00,1.79,8.33,3.31,0.12,0.30,0.33,0.39,0.25,0.00,35.73,1.69,-1.00,-1.00,51.78,-0.07,0.12,0.27,15.76,0.25,-1.00,-1.00,0.00,0.00,0.06,0.20,0.37,0.22,9.65,6.60,41.09,0.98,1.78,-1.00,-1.00,1.01,66.72,66.72,0.27,42.82,1583,,,,,
3321,Superior Robotics,2,4.97,0.28,0.76,0.78,0.21,0.00,12.76,0.21,-1.00,-1.00,4.25,17.10,1.57,3.95,1.30,0.35,0.39,0.20,0.02,32.30,1.39,-1.00,-1.00,58.84,0.26,0.26,0.25,30.68,-1.00,-1.00,-1.00,0.01,0.02,-0.08,0.25,-0.10,0.29,-2.21,7.65,38.00,0.88,1.49,-1.00,-1.00,1.77,73.25,73.61,0.31,24.87,1472,,,,,
3577,Saint's Robotics,3,3.59,-0.01,-0.56,-0.56,-0.04,0.00,-2.20,-0.04,-1.00,-1.00,-0.73,0.82,0.10,-2.58,-0.75,0.33,0.27,0.02,0.00,26.10,0.63,-1.00,-1.00,39.34,0.01,0.06,0.21,13.98,0.08,-1.00,-1.00,0.00,0.00,0.10,-0.10,0.28,0.73,7.56,17.85,23.90,0.62,0.60,-1.00,-1.00,-1.32,58.01,58.01,0.06,-5.14,1368,,,,,
3853,Pridetronics,2,4.32,0.13,0.40,0.41,0.14,0.00,8.26,0.14,-1.00,-1.00,2.75,12.43,0.83,2.23,0.74,0.34,0.33,0.13,0.01,27.67,1.05,-1.00,-1.00,49.32,0.18,0.18,0.17,23.11,-1.00,-1.00,-1.00,0.00,0.01,0.02,0.15,0.01,0.17,0.73,4.72,33.08,0.77,1.14,-1.00,-1.00,1.03,62.28,62.49,0.22,10.06,1475,,,,,
3944,All Knights,2,5.23,0.33,0.90,0.92,0.24,0.00,14.49,0.24,-1.00,-1.00,4.83,18.90,1.85,4.61,1.52,0.36,0.41,0.23,0.02,34.08,1.52,-1.00,-1.00,62.51,0.29,0.29,0.29,33.60,-1.00,-1.00,-1.00,0.01,0.02,-0.12,0.29,-0.15,0.33,-3.34,8.79,39.90,0.92,1.63,-1.00,-1.00,2.06,77.48,77.89,0.34,30.57,1518,,,,,
4111,Some Assembly Required,2,2.79,-0.21,-0.44,-0.44,-0.04,0.00,-2.28,-0.04,-1.00,-1.00,-0.76,1.47,-0.89,-1.79,-0.59,0.31,0.19,-0.04,-0.02,16.83,0.25,-1.00,-1.00,26.99,-0.02,-0.02,-0.02,5.36,-1.00,-1.00,-1.00,-0.01,-0.02,0.25,-0.08,0.28,-0.10,7.61,-2.17,21.54,0.52,0.32,-1.00,-1.00,-0.73,36.55,36.43,0.03,-24.66,1395,,,,,
4146,Sabercats,3,4.19,-0.01,-0.11,-0.11,0.18,0.00,11.03,0.18,-1.00,-1.00,3.68,15.11,0.36,2.47,0.73,0.33,0.46,-0.23,0.00,14.94,-0.21,-1.00,-1.00,42.41,0.10,0.26,0.17,26.74,0.42,-1.00,-1.00,0.00,0.00,0.27,-0.10,-0.12,0.04,-1.55,0.61,25.98,0.56,-0.02,-1.00,-1.00,0.62,58.13,58.13,0.26,0.55,1488,,,,,
