INStateChampionship,incmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1501,Team THRUST,3,4.67,0.00,4.73,4.73,0.15,0.00,8.84,0.15,-1.00,-1.00,2.95,18.24,0.01,-0.39,-0.11,0.33,0.35,0.39,0.55,59.28,5.42,-1.00,-1.00,99.74,0.35,0.18,0.28,40.56,0.84,-1.00,-1.00,0.00,0.55,0.07,0.06,0.01,-0.05,0.62,-0.87,68.12,1.63,5.57,-1.00,-1.00,4.62,117.11,172.54,0.37,35.80,1629,,,,,
1529,CyberCards,3,3.66,0.00,0.47,0.47,0.26,0.00,15.60,0.26,-1.00,-1.00,5.20,19.74,-0.00,0.26,0.10,0.33,0.25,0.24,0.03,23.60,1.44,-1.00,-1.00,80.20,0.46,0.46,0.21,56.51,0.90,-1.00,-1.00,0.00,0.03,0.43,-0.15,0.14,0.12,5.63,2.30,39.20,0.85,1.70,-1.00,-1.00,0.57,102.25,104.85,0.26,14.47,1488,,,,,
1720,PhyXTGears,3,4.56,0.00,4.51,4.51,0.49,0.00,29.66,0.49,-1.00,-1.00,9.89,38.73,-0.00,4.13,1.17,0.33,0.33,0.40,0.23,31.87,3.15,-1.00,-1.00,78.56,0.19,0.30,0.41,45.52,0.60,-1.00,-1.00,0.00,0.23,0.03,-0.01,-0.00,0.03,0.02,0.66,61.53,1.29,3.64,-1.00,-1.00,5.67,117.95,141.02,0.56,30.91,1523,,,,,
1741,Red Alert,3,4.80,0.00,2.22,2.22,0.11,0.00,6.89,0.11,-1.00,-1.00,2.30,13.90,-0.00,-0.89,-0.25,0.33,0.34,0.24,-0.04,30.68,1.33,-1.00,-1.00,68.28,0.37,0.11,0.28,37.85,0.94,-1.00,-1.00,0.00,-0.04,0.16,0.17,-0.00,0.27,0.68,7.62,37.57,0.88,1.44,-1.00,-1.00,1.96,89.80,86.10,0.11,5.36,1494,,,,,
1747,Harrison Boiler Robotics,3,4.98,0.00,2.97,2.97,0.26,0.00,15.32,0.26,-1.00,-1.00,5.11,23.27,0.04,3.67,1.03,0.33,0.25,-0.02,0.00,12.42,0.17,-1.00,-1.00,38.75,0.39,0.04,0.07,25.30,0.63,-1.00,-1.00,0.00,0.00,-0.07,0.10,-0.01,-0.05,-0.57,-0.86,27.73,0.57,0.42,-1.00,-1.00,4.00,61.15,61.15,0.23,5.98,1495,,,,,
2197,Las Pumas,3,5.48,0.00,-0.55,-0.55,0.16,0.00,9.60,0.16,-1.00,-1.00,3.20,14.53,-0.01,-0.52,-0.21,0.33,0.26,0.25,-0.05,25.23,1.13,-1.00,-1.00,67.09,0.35,0.38,0.11,42.07,0.74,-1.00,-1.00,0.00,-0.05,0.16,0.62,-0.06,0.04,-0.69,4.04,34.83,0.79,1.29,-1.00,-1.00,-0.76,85.66,80.29,0.33,16.71,1517,,,,,
3147,Munster HorsePower,3,5.33,0.00,-0.05,-0.05,0.23,0.00,13.60,0.23,-1.00,-1.00,4.53,18.88,-0.13,-3.32,-1.14,0.33,0.36,0.28,0.00,30.17,1.64,-1.00,-1.00,81.13,0.22,0.39,0.43,52.10,0.89,-1.00,-1.00,0.00,0.00,0.13,0.12,-0.04,0.04,-0.27,1.59,43.77,0.98,1.86,-1.00,-1.00,-1.19,101.60,101.60,0.41,39.55,1579,,,,,
3494,The Quadrangles,3,6.02,0.00,-0.71,-0.71,0.09,0.00,5.68,0.09,-1.00,-1.00,1.89,11.00,0.08,-1.50,-0.46,0.33,0.35,0.15,0.07,32.42,1.61,-1.00,-1.00,73.85,0.21,0.36,0.27,41.89,0.89,-1.00,-1.00,0.00,0.07,0.42,0.26,-0.08,0.26,0.19,7.70,38.10,0.91,1.71,-1.00,-1.00,-1.17,92.54,99.48,0.38,34.70,1538,,,,,
3559,Thundercats,3,4.95,0.00,0.09,0.09,-0.00,0.00,-0.21,-0.00,-1.00,-1.00,-0.07,4.83,0.00,0.32,0.12,0.33,0.35,0.33,-0.08,37.62,1.55,-1.00,-1.00,68.46,-0.05,0.40,0.26,30.72,0.75,-1.00,-1.00,0.00,-0.08,-0.11,0.10,-0.08,0.06,-2.62,2.00,37.41,0.94,1.55,-1.00,-1.00,0.22,75.30,67.77,-0.07,-21.88,1458,,,,,
3865,Riley WildBots,3,5.24,0.00,-0.22,-0.22,0.45,0.00,26.76,0.45,-1.00,-1.00,8.92,31.79,-0.13,1.09,0.40,0.33,0.35,0.27,0.00,20.37,1.35,-1.00,-1.00,54.59,0.22,0.12,0.34,33.83,0.75,-1.00,-1.00,0.00,0.00,0.24,0.04,0.33,0.03,9.35,0.86,47.13,0.96,1.79,-1.00,-1.00,0.18,87.24,87.24,0.16,5.39,1452,,,,,
