MIShepherd,mishe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
4970,ICE Cubed,3,4.97,-0.29,0.13,0.05,0.40,0.00,23.84,0.40,-1.00,-1.00,7.95,28.86,1.39,0.30,0.25,0.33,0.36,0.05,0.00,13.85,0.54,-1.00,-1.00,64.05,0.36,0.27,0.36,49.95,0.80,-1.00,-1.00,0.00,0.00,0.00,0.13,-0.10,0.57,-2.43,14.84,37.69,0.74,0.93,-1.00,-1.00,0.30,107.75,107.75,0.43,64.42,1572,,,,,
5066,Singularity,3,5.50,1.43,-0.06,0.20,0.17,0.00,10.48,0.17,-1.00,-1.00,3.49,16.17,1.60,-1.57,-0.33,0.33,0.34,0.43,0.08,40.30,2.71,-1.00,-1.00,64.01,0.28,-0.05,0.25,24.05,0.58,-1.00,-1.00,0.03,0.08,-0.02,0.07,0.02,0.54,0.28,13.90,50.77,1.18,2.89,-1.00,-1.00,-0.13,94.09,102.75,0.11,33.24,1473,,,,,
5162,The Big Red Theory ,3,4.50,-0.01,-0.10,-0.10,0.20,0.00,12.22,0.20,-1.00,-1.00,4.07,16.62,1.68,0.43,0.17,0.33,0.33,0.10,-0.04,20.83,0.60,-1.00,-1.00,34.00,-0.11,0.32,0.06,12.99,0.36,-1.00,-1.00,0.00,-0.04,0.05,0.22,-0.01,-0.22,0.00,-4.39,33.04,0.72,0.81,-1.00,-1.00,0.07,46.23,41.74,0.19,-21.93,1457,,,,,
5193,Pantheon,3,4.90,-0.00,0.39,0.39,0.10,0.00,5.85,0.10,-1.00,-1.00,1.95,11.13,0.42,0.42,0.16,0.33,0.34,0.10,0.06,29.55,1.36,-1.00,-1.00,52.83,0.19,0.27,0.00,23.11,0.25,-1.00,-1.00,0.00,0.06,-0.17,-0.21,0.28,-0.13,6.04,-4.38,35.40,0.84,1.46,-1.00,-1.00,0.55,59.58,65.81,0.11,-21.59,1364,,,,,
5213,St. Ignace SHIELD ,3,6.12,-0.09,0.11,0.03,0.00,0.00,0.08,0.00,-1.00,-1.00,0.03,6.23,-1.26,0.30,0.02,0.33,0.26,0.02,0.00,24.53,0.60,-1.00,-1.00,32.13,0.10,0.04,0.02,7.59,0.17,-1.00,-1.00,0.00,0.00,-0.05,0.11,0.15,-0.17,3.51,-3.69,24.61,0.61,0.60,-1.00,-1.00,0.05,34.66,34.66,0.11,-18.10,1374,,,,,
5216,E-Ville Empire,3,5.06,0.00,0.03,0.03,-0.02,0.00,-1.48,-0.02,-1.00,-1.00,-0.49,3.60,1.29,-0.17,-0.02,0.33,0.37,0.46,-0.01,47.11,2.55,-1.00,-1.00,72.39,0.10,0.03,0.38,25.30,0.57,-1.00,-1.00,0.00,-0.01,-0.07,-0.06,0.00,-0.12,-0.37,-3.40,45.63,1.15,2.53,-1.00,-1.00,0.02,72.60,71.71,0.22,10.76,1423,,,,,
5229,Heritage Hawkbots,3,5.66,0.00,0.06,0.06,0.23,0.00,14.00,0.23,-1.00,-1.00,4.67,19.72,-0.21,0.37,0.08,0.33,0.28,-0.15,0.01,9.50,-0.23,-1.00,-1.00,34.16,0.12,0.18,0.20,24.59,0.42,-1.00,-1.00,0.00,0.01,0.23,-0.00,0.02,-0.09,1.77,-2.25,23.50,0.47,0.01,-1.00,-1.00,0.13,51.63,52.57,0.06,-28.61,1342,,,,,
5231,Radical Jays,3,5.67,-0.01,0.05,0.05,-0.01,0.00,-0.82,-0.01,-1.00,-1.00,-0.27,4.91,0.09,-0.09,-0.03,0.33,0.28,0.02,-0.02,25.29,0.55,-1.00,-1.00,50.93,0.13,0.13,0.25,25.68,0.75,-1.00,-1.00,0.00,-0.02,0.34,-0.15,0.17,0.04,6.06,0.21,24.47,0.62,0.53,-1.00,-1.00,0.02,56.06,54.50,-0.03,-32.02,1340,,,,,
5247,Red Devil Robotics,3,4.46,0.00,0.05,0.05,0.30,0.00,18.02,0.30,-1.00,-1.00,6.01,22.54,0.11,-0.14,-0.00,0.33,0.36,0.09,-0.02,18.51,0.66,-1.00,-1.00,8.79,-0.02,-0.13,-0.04,-9.73,0.08,-1.00,-1.00,0.00,-0.02,0.08,0.08,0.04,0.15,1.31,4.17,36.54,0.76,0.97,-1.00,-1.00,0.05,35.49,33.36,-0.01,-26.85,1346,,,,,
5257,CometKaze,3,3.07,0.01,0.06,0.06,0.29,0.00,17.63,0.29,-1.00,-1.00,5.88,20.76,-0.36,0.68,0.19,0.33,0.28,-0.18,-0.02,4.79,-0.60,-1.00,-1.00,-3.87,-0.09,0.01,-0.10,-8.85,0.08,-1.00,-1.00,0.00,-0.02,-0.25,-0.15,-0.19,0.23,-6.11,4.97,22.42,0.41,-0.30,-1.00,-1.00,0.25,21.86,19.62,0.13,-61.04,1307,,,,,
5260,Owosso Operating System,3,4.97,-0.02,1.22,1.22,0.43,0.00,25.65,0.43,-1.00,-1.00,8.55,31.84,-0.65,0.84,0.28,0.34,0.35,0.17,0.00,17.52,0.97,-1.00,-1.00,26.84,-0.13,0.22,0.09,9.04,0.29,-1.00,-1.00,0.00,0.00,-0.08,-0.12,-0.03,0.27,-1.23,6.03,43.18,0.87,1.39,-1.00,-1.00,1.50,64.71,64.71,0.27,2.84,1435,,,,,
5487,Tiger Robotics,3,5.56,-0.04,0.00,-0.01,-0.19,0.00,-11.11,-0.19,-1.00,-1.00,-3.70,-5.55,0.19,-0.36,-0.14,0.33,0.30,-0.09,0.00,29.45,0.45,-1.00,-1.00,38.34,0.07,0.08,0.03,9.02,0.17,-1.00,-1.00,-0.01,0.00,0.31,0.00,0.45,0.11,12.90,2.78,18.34,0.55,0.27,-1.00,-1.00,-0.15,35.56,35.29,0.11,-14.95,1403,,,,,
5538,Vikingbots,3,5.09,-0.06,0.36,0.36,0.30,0.00,17.73,0.30,-1.00,-1.00,5.91,23.18,-0.25,-2.37,-0.90,0.33,0.32,-0.05,-0.01,12.14,0.12,-1.00,-1.00,21.09,-0.10,0.23,0.07,9.85,0.25,-1.00,-1.00,0.00,-0.01,0.25,0.09,-0.12,-0.04,-1.86,-0.43,29.87,0.60,0.42,-1.00,-1.00,-0.54,43.84,43.28,0.02,-51.58,1305,,,,,
5622,Green Hornets,3,5.79,-0.01,0.09,0.09,0.10,0.00,5.73,0.10,-1.00,-1.00,1.91,11.61,-2.37,2.53,0.61,0.33,0.36,0.04,-0.03,24.13,0.58,-1.00,-1.00,40.72,0.13,0.14,0.04,15.97,0.29,-1.00,-1.00,0.00,-0.03,-0.14,-0.11,-0.27,0.37,-7.37,8.66,29.86,0.70,0.67,-1.00,-1.00,0.71,60.99,57.88,0.24,25.27,1477,,,,,
5712,Hemlock's Gray Matter,3,4.15,-0.01,0.08,0.08,0.01,0.00,0.75,0.01,-1.00,-1.00,0.25,4.99,-0.18,0.84,0.18,0.33,0.36,0.34,-0.01,40.36,2.00,-1.00,-1.00,56.15,-0.09,0.10,0.30,15.61,0.33,-1.00,-1.00,0.00,-0.01,0.43,0.50,0.47,0.28,13.85,9.50,41.11,1.02,2.01,-1.00,-1.00,0.26,70.63,69.47,0.31,-17.10,1429,,,,,
5714,Accidental Success ,3,1.61,0.01,-0.00,-0.00,0.03,0.00,1.64,0.03,-1.00,-1.00,0.55,3.25,-0.99,0.52,0.05,0.33,0.23,0.11,0.00,25.58,0.83,-1.00,-1.00,36.51,-0.11,0.21,0.12,10.87,0.08,-1.00,-1.00,0.00,0.00,-0.05,0.01,0.03,-0.01,0.40,-0.08,27.22,0.67,0.85,-1.00,-1.00,0.05,39.68,39.68,-0.03,-29.75,1320,,,,,
5878,The Great Lakers,3,5.05,0.05,-0.02,0.00,0.10,0.00,6.12,0.10,-1.00,-1.00,2.04,11.17,-0.92,-0.24,-0.10,0.33,0.40,0.22,0.00,34.04,1.58,-1.00,-1.00,26.41,-0.05,-0.11,0.01,-7.53,0.00,-1.00,-1.00,0.00,0.00,0.30,-0.02,0.28,-0.00,8.43,-0.19,40.16,0.95,1.68,-1.00,-1.00,-0.10,37.39,37.39,0.12,-7.05,1406,,,,,
5982,Circuits  of Destruction ,3,4.51,-0.01,-0.08,-0.08,0.08,0.00,4.75,0.08,-1.00,-1.00,1.58,9.18,-0.32,1.53,0.42,0.33,0.35,0.01,-0.03,23.39,0.49,-1.00,-1.00,33.09,0.20,-0.15,0.14,9.28,0.42,-1.00,-1.00,0.00,-0.03,0.13,-0.16,-0.04,0.12,-0.40,2.11,28.14,0.66,0.57,-1.00,-1.00,0.34,44.38,41.38,-0.10,-57.90,1310,,,,,
6078,RoboRams,3,5.00,0.00,0.30,0.30,0.08,0.00,4.85,0.08,-1.00,-1.00,1.62,10.15,1.11,-1.35,-0.39,0.33,0.35,0.03,-0.04,23.70,0.51,-1.00,-1.00,50.07,0.43,0.00,0.11,26.76,0.58,-1.00,-1.00,0.00,-0.04,0.06,-0.00,-0.15,0.19,-3.59,4.76,28.55,0.67,0.59,-1.00,-1.00,-0.09,64.98,61.13,0.13,-12.60,1375,,,,,
6100,MSMohawks,3,4.76,-0.02,-0.31,-0.31,0.19,0.00,11.31,0.19,-1.00,-1.00,3.77,15.76,9.29,-1.09,0.42,0.33,0.24,0.05,-0.03,16.26,0.39,-1.00,-1.00,12.18,0.00,-0.07,-0.02,-4.49,0.17,-1.00,-1.00,0.00,-0.03,0.10,0.00,0.05,0.25,1.72,6.31,27.57,0.59,0.58,-1.00,-1.00,0.11,34.25,31.20,-0.02,-29.19,1363,,,,,
6102,Mustangs,3,3.81,-0.01,-0.10,-0.10,0.13,0.00,8.09,0.13,-1.00,-1.00,2.70,11.80,1.19,-0.12,-0.04,0.33,0.28,0.23,-0.03,26.96,1.13,-1.00,-1.00,72.29,0.18,0.30,0.42,45.38,0.69,-1.00,-1.00,0.00,-0.03,0.40,-0.02,-0.04,0.41,0.92,10.05,35.05,0.81,1.27,-1.00,-1.00,-0.15,94.14,90.88,0.22,11.12,1429,,,,,
6493,Red Steel,3,0.54,0.00,0.06,0.06,0.01,0.00,0.42,0.01,-1.00,-1.00,0.14,1.02,-0.00,0.20,0.10,0.33,0.27,-0.09,-0.01,19.61,0.09,-1.00,-1.00,43.73,0.24,0.24,0.00,24.02,0.25,-1.00,-1.00,0.00,-0.01,-0.10,0.10,0.29,0.18,6.85,4.90,20.03,0.50,0.10,-1.00,-1.00,0.16,49.65,48.65,0.11,-18.92,1344,,,,,
6550,Wildcat Robotics ,3,3.98,0.00,-0.11,-0.11,0.13,0.00,7.82,0.13,-1.00,-1.00,2.61,11.69,-0.02,-0.90,-0.26,0.33,0.25,0.12,0.01,23.25,0.90,-1.00,-1.00,33.69,0.17,0.04,-0.00,10.70,0.08,-1.00,-1.00,0.00,0.01,0.39,0.08,-0.12,-0.24,-1.01,-5.57,31.07,0.71,1.03,-1.00,-1.00,-0.38,39.81,40.44,0.18,-11.32,1375,,,,,
6556,Waldron Bot Heads,3,3.96,0.00,0.00,0.00,-0.03,0.00,-1.58,-0.03,-1.00,-1.00,-0.53,2.38,-0.26,-0.28,-0.10,0.34,0.30,0.05,0.00,28.77,0.83,-1.00,-1.00,29.95,-0.05,0.05,0.03,1.27,0.50,-1.00,-1.00,0.00,0.00,0.27,0.29,0.19,0.08,6.06,3.46,27.19,0.69,0.81,-1.00,-1.00,-0.10,35.79,35.79,0.02,-51.44,1311,,,,,
6582,Vestaburg,3,4.85,-0.01,0.09,0.09,0.28,0.00,16.94,0.28,-1.00,-1.00,5.65,21.88,-0.09,-0.31,-0.17,0.33,0.35,0.31,0.07,31.50,2.11,-1.00,-1.00,43.68,0.05,0.18,0.02,12.35,0.58,-1.00,-1.00,0.00,0.07,0.40,-0.12,0.13,0.15,5.35,3.06,48.44,1.07,2.40,-1.00,-1.00,-0.08,68.62,76.06,0.09,4.69,1372,,,,,
6595,Fortis Quake,3,2.20,0.00,0.45,0.45,0.23,0.00,13.69,0.23,-1.00,-1.00,4.56,16.34,4.94,-0.76,0.06,0.33,0.25,0.06,-0.03,15.24,0.30,-1.00,-1.00,15.21,-0.04,-0.01,0.05,-0.08,0.17,-1.00,-1.00,0.00,-0.03,0.18,-0.05,0.02,0.13,1.37,3.05,28.93,0.61,0.53,-1.00,-1.00,0.51,34.60,31.28,-0.07,-43.97,1293,,,,,
6597,Eagles,3,-0.36,0.00,0.02,0.02,0.09,0.00,5.41,0.09,-1.00,-1.00,1.80,5.08,-0.36,0.03,-0.02,0.33,0.28,0.22,-0.00,29.49,1.41,-1.00,-1.00,31.29,-0.11,0.09,0.06,1.82,0.25,-1.00,-1.00,0.00,-0.00,-0.14,0.17,0.29,0.01,6.58,1.22,34.90,0.83,1.50,-1.00,-1.00,0.01,37.59,37.22,-0.06,-33.17,1309,,,,,
