MARMountOlive,njfla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
752,The Chargers,-0.06,0.00,-0.17,-0.17,-0.14,0.00,-8.37,-0.14,-1.00,-1.00,-2.79,-8.60,0.08,0.50,0.17,0.33,0.30,-0.02,0.00,30.02,0.65,-1.00,-1.00,33.15,0.16,-0.17,0.07,2.96,0.17,-1.00,-1.00,0.00,0.00,0.05,0.45,0.47,-0.08,12.11,0.35,21.66,0.61,0.51,-1.00,-1.00,-0.01,24.90,24.90,0.11,-15.26,1412,,,,,
1089,Team Mercury,5.43,0.00,-0.15,-0.15,0.33,0.00,19.66,0.33,-1.00,-1.00,6.55,24.94,0.18,-0.63,-0.25,0.33,0.38,-0.14,0.00,9.52,-0.15,-1.00,-1.00,26.31,-0.08,0.26,0.16,17.03,0.38,-1.00,-1.00,0.00,0.00,0.21,0.05,0.36,-0.23,10.13,-5.52,29.19,0.57,0.18,-1.00,-1.00,-0.40,45.73,45.73,0.18,2.71,1523,,,,,
1228,RoboTribe,5.01,0.00,-0.51,-0.51,0.02,0.00,1.33,0.02,-1.00,-1.00,0.44,5.84,0.51,-0.75,-0.24,0.33,0.24,-0.06,0.00,19.38,0.20,-1.00,-1.00,22.04,0.11,-0.10,0.05,2.90,0.29,-1.00,-1.00,0.00,0.00,-0.05,-0.08,-0.11,-0.05,-3.10,-1.76,20.71,0.51,0.22,-1.00,-1.00,-0.75,26.11,26.11,0.08,-46.87,1322,,,,,
1279,Cold Fusion,4.16,0.00,0.47,0.47,0.03,0.00,2.08,0.03,-1.00,-1.00,0.69,6.72,-0.54,0.07,-0.00,0.33,0.30,0.21,0.00,32.62,1.43,-1.00,-1.00,53.13,0.14,0.04,0.23,20.51,0.40,-1.00,-1.00,0.00,0.00,-0.13,-0.02,0.40,-0.02,9.42,-0.66,34.71,0.85,1.46,-1.00,-1.00,0.47,59.19,59.19,0.53,38.16,1473,,,,,
1403,Cougar Robotics,4.87,0.00,0.52,0.52,-0.11,0.00,-6.75,-0.11,-1.00,-1.00,-2.25,-1.36,0.35,0.36,0.12,0.33,0.32,0.15,0.00,36.64,1.34,-1.00,-1.00,54.92,-0.06,0.18,0.25,18.17,0.40,-1.00,-1.00,0.00,0.00,-0.13,0.17,0.25,0.21,5.55,6.00,29.89,0.80,1.23,-1.00,-1.00,0.63,59.56,59.56,0.04,-32.53,1427,,,,,
1672,Robo-T-Birds,5.52,0.00,-0.33,-0.33,0.10,0.00,5.76,0.10,-1.00,-1.00,1.92,10.94,-0.85,-0.79,-0.34,0.33,0.39,0.32,0.00,37.84,1.95,-1.00,-1.00,31.30,-0.15,-0.13,0.16,-6.19,0.13,-1.00,-1.00,0.00,0.00,-0.12,-0.09,0.30,-0.12,6.85,-3.32,43.60,1.04,2.05,-1.00,-1.00,-0.68,38.93,38.93,0.15,-9.01,1354,,,,,
1811,FRESH,3.99,0.00,-0.05,-0.05,-0.08,0.00,-4.83,-0.08,-1.00,-1.00,-1.61,-0.89,0.50,-0.70,-0.25,0.33,0.37,0.15,0.00,37.21,1.41,-1.00,-1.00,41.01,0.27,-0.18,-0.01,4.05,0.31,-1.00,-1.00,0.00,0.00,0.43,0.27,-0.15,-0.05,-1.60,0.10,32.38,0.85,1.32,-1.00,-1.00,-0.30,40.22,40.22,0.02,-40.91,1409,,,,,
1923,The MidKnight Inventors,3.72,0.00,0.02,0.02,-0.03,0.00,-1.83,-0.03,-1.00,-1.00,-0.61,1.92,-0.30,-1.15,-0.43,0.33,0.22,-0.01,0.00,22.92,0.42,-1.00,-1.00,51.96,0.22,0.06,0.31,29.48,0.56,-1.00,-1.00,0.00,0.00,0.10,-0.11,-0.30,0.27,-6.89,6.30,21.09,0.54,0.39,-1.00,-1.00,-0.40,60.18,60.18,0.14,12.73,1479,,,,,
2016,Mighty Monkey Wrenches,-0.49,0.00,0.27,0.27,-0.01,0.00,-0.44,-0.01,-1.00,-1.00,-0.15,-0.66,-0.03,0.42,0.16,0.33,0.26,0.07,0.00,26.79,0.80,-1.00,-1.00,38.39,-0.02,0.22,0.04,11.44,0.08,-1.00,-1.00,0.00,0.00,0.49,-0.02,0.05,0.23,3.64,5.62,26.35,0.66,0.79,-1.00,-1.00,0.44,43.35,43.35,0.05,-18.60,1491,,,,,
2070,Royals,-1.61,0.00,-0.40,-0.40,0.26,0.00,15.72,0.26,-1.00,-1.00,5.24,13.71,2.19,-0.15,0.22,0.33,0.43,0.05,0.00,22.05,0.80,-1.00,-1.00,16.81,0.11,-0.17,-0.05,-5.46,0.08,-1.00,-1.00,0.00,0.00,0.10,-0.09,-0.02,0.50,-0.01,12.07,37.78,0.81,1.07,-1.00,-1.00,-0.19,42.59,42.59,0.12,2.40,1445,,,,,
