CHSChampionship,chcmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
836,The RoboBees,3,5.15,-0.01,0.58,0.58,-0.07,0.00,-4.25,-0.07,-1.00,-1.00,-1.42,1.48,0.32,0.17,0.03,0.33,0.37,0.47,0.08,52.96,3.17,-1.00,-1.00,84.19,0.56,-0.05,0.11,31.21,0.65,-1.00,-1.00,0.00,0.08,0.08,0.12,-0.23,0.11,-5.40,3.45,48.71,1.25,3.10,-1.00,-1.00,0.61,89.13,96.87,0.48,62.60,1578,,,,,
1080,Resurgence Robotics,3,4.14,0.10,0.10,0.10,0.34,0.00,20.65,0.34,-1.00,-1.00,6.88,24.89,-0.16,1.80,0.45,0.33,0.34,0.40,-0.03,28.18,1.78,-1.00,-1.00,67.37,0.36,0.22,0.20,38.73,0.76,-1.00,-1.00,0.00,-0.03,-0.03,0.40,0.06,0.04,1.29,3.02,48.83,1.05,2.13,-1.00,-1.00,0.55,95.28,92.76,0.11,5.04,1465,,,,,
1086,Blue Cheese,3,5.52,0.38,-0.06,0.06,0.04,0.00,2.50,0.04,-1.00,-1.00,0.83,8.08,2.28,-1.12,-0.21,0.33,0.38,0.22,-0.01,35.31,1.53,-1.00,-1.00,67.56,0.54,0.17,-0.06,32.45,0.79,-1.00,-1.00,0.00,-0.01,-0.11,-0.13,-0.01,-0.09,-0.72,-2.91,37.81,0.92,1.57,-1.00,-1.00,-0.15,72.73,71.99,0.16,-7.27,1453,,,,,
1111,The Power Hawks Robotics Team,3,6.30,0.01,-0.07,-0.07,0.23,0.00,13.97,0.23,-1.00,-1.00,4.66,20.20,-1.09,0.05,-0.04,0.33,0.41,0.46,0.01,39.39,2.49,-1.00,-1.00,77.38,0.30,0.28,0.18,38.03,0.76,-1.00,-1.00,0.00,0.01,-0.06,0.11,-0.38,0.41,-9.83,10.74,53.36,1.22,2.73,-1.00,-1.00,-0.11,108.31,108.99,0.47,67.81,1601,,,,,
1123,AIM Robotics,3,4.78,0.19,0.01,0.05,0.14,0.00,8.36,0.14,-1.00,-1.00,2.79,13.18,-0.13,-0.02,-0.04,0.35,0.28,0.54,0.00,41.03,2.58,-1.00,-1.00,74.38,0.24,0.14,0.29,33.39,0.59,-1.00,-1.00,0.00,0.00,0.25,0.09,-0.01,0.55,0.89,14.14,49.39,1.17,2.72,-1.00,-1.00,0.01,101.70,101.70,0.42,41.88,1490,,,,,
1137,Rocket Sauce,3,4.49,-0.08,-0.00,-0.02,-0.17,0.00,-9.96,-0.17,-1.00,-1.00,-3.32,-5.48,0.31,-0.03,0.04,0.33,0.38,0.13,0.00,40.49,1.43,-1.00,-1.00,76.04,0.11,0.23,0.37,35.51,0.86,-1.00,-1.00,0.00,0.00,-0.01,0.23,-0.14,0.27,-3.58,7.89,30.54,0.85,1.27,-1.00,-1.00,0.02,78.45,78.45,0.42,24.99,1503,,,,,
1262,the STAGS,3,5.74,0.12,-0.15,-0.14,0.18,0.00,10.99,0.18,-1.00,-1.00,3.66,16.59,-0.11,5.50,1.72,0.33,0.40,0.22,0.01,30.78,1.50,-1.00,-1.00,87.52,0.38,0.39,0.33,55.02,1.00,-1.00,-1.00,0.00,0.01,0.18,0.11,-0.12,-0.03,-2.15,-0.20,41.78,0.95,1.68,-1.00,-1.00,1.59,103.92,104.56,0.49,34.44,1532,,,,,
1389,The Body Electric ,3,5.38,-0.24,-0.01,-0.06,-0.01,0.00,-0.75,-0.01,-1.00,-1.00,-0.25,4.56,0.39,-0.03,0.06,0.33,0.39,0.39,0.00,44.81,2.32,-1.00,-1.00,68.62,0.36,-0.09,0.21,23.75,0.79,-1.00,-1.00,0.00,0.00,-0.20,-0.10,0.32,0.16,6.90,3.41,44.05,1.11,2.31,-1.00,-1.00,-0.01,76.59,76.59,0.24,15.32,1468,,,,,
1418,Vae Victis,3,5.45,-0.02,-0.01,-0.01,0.18,0.00,10.56,0.18,-1.00,-1.00,3.52,16.00,-0.75,-0.05,-0.03,0.33,0.41,0.31,-0.01,34.86,1.85,-1.00,-1.00,82.62,0.24,0.40,0.32,47.78,0.95,-1.00,-1.00,0.00,-0.01,-0.07,0.13,-0.13,-0.06,-3.54,-0.88,45.42,1.05,2.03,-1.00,-1.00,-0.04,97.74,97.24,0.29,24.74,1528,,,,,
1522,DOTM - Defenders of the Multiverse,3,4.41,-0.21,-0.16,-0.21,0.19,0.00,11.21,0.19,-1.00,-1.00,3.74,15.41,-0.58,-0.13,-0.12,0.33,0.30,0.36,0.07,35.19,2.28,-1.00,-1.00,77.64,0.22,0.40,0.24,42.58,0.86,-1.00,-1.00,0.00,0.07,-0.06,0.11,0.29,-0.12,6.94,-2.51,46.40,1.07,2.47,-1.00,-1.00,-0.34,90.54,97.81,0.40,27.12,1515,,,,,
