MIWestMichigan,miwmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
3572,Wavelength,4.91,-0.01,-0.10,-0.10,0.23,0.00,13.99,0.23,-1.00,-1.00,4.66,18.80,-0.74,-0.08,-0.08,0.33,0.39,0.36,0.08,37.33,2.47,-1.00,-1.00,77.13,0.24,0.31,0.24,39.88,0.76,-1.00,-1.00,0.00,0.08,0.11,0.05,-0.07,0.11,-1.24,3.04,51.32,1.17,2.70,-1.00,-1.00,-0.18,98.97,106.72,0.25,51.72,1476,,,,,
3620,Average Joes,4.93,0.08,1.01,1.01,0.24,0.00,14.62,0.24,-1.00,-1.00,4.87,20.56,-1.59,0.05,-0.22,0.33,0.37,0.46,0.18,43.87,3.39,-1.00,-1.00,76.00,0.23,0.08,0.33,32.35,0.89,-1.00,-1.00,0.00,0.18,0.01,0.04,0.03,0.22,0.75,5.71,58.49,1.34,3.63,-1.00,-1.00,0.79,102.27,120.22,0.39,29.44,1621,,,,,
4003,TriSonics,4.61,-0.01,0.50,0.50,0.53,0.00,32.10,0.53,-1.00,-1.00,10.70,37.20,-1.22,0.14,-0.18,0.33,0.35,0.36,-0.03,19.02,1.41,-1.00,-1.00,74.01,0.41,0.43,0.26,55.16,0.84,-1.00,-1.00,0.00,-0.03,-0.08,0.16,-0.07,0.27,-2.18,7.46,51.12,1.01,1.95,-1.00,-1.00,0.32,118.67,115.38,0.48,61.53,1635,,,,,
4004,M.A.R.S. Rovers,3.29,0.01,0.57,0.57,0.05,0.00,3.11,0.05,-1.00,-1.00,1.04,6.96,-1.39,1.10,0.25,0.33,0.37,0.46,-0.01,44.27,2.48,-1.00,-1.00,92.12,0.33,0.28,0.34,47.60,0.61,-1.00,-1.00,0.00,-0.01,0.11,-0.02,-0.01,0.25,0.30,6.15,47.38,1.16,2.53,-1.00,-1.00,0.81,105.23,104.21,0.18,24.11,1520,,,,,
4325,RoboRangers,4.82,-0.00,0.67,0.67,0.44,0.00,26.48,0.44,-1.00,-1.00,8.83,31.97,18.59,0.35,1.86,0.33,0.34,0.25,0.08,22.35,1.71,-1.00,-1.00,53.25,0.41,0.07,0.10,29.04,0.67,-1.00,-1.00,0.00,0.08,-0.10,0.06,-0.24,0.44,-6.47,11.19,48.83,1.00,2.15,-1.00,-1.00,2.53,96.41,104.40,0.41,50.65,1622,,,,,
4337,R 13,4.70,0.08,-0.00,-0.00,-0.02,0.00,-1.50,-0.02,-1.00,-1.00,-0.50,3.20,1.06,-0.10,0.05,0.33,0.35,0.11,-0.02,31.87,1.02,-1.00,-1.00,59.24,0.19,0.18,0.18,27.32,0.17,-1.00,-1.00,0.00,-0.02,0.11,0.11,0.16,-0.04,4.65,-0.35,30.37,0.77,0.99,-1.00,-1.00,0.05,62.09,59.78,-0.02,-9.11,1364,,,,,
5162,The Big Red Theory ,4.50,-0.01,-0.10,-0.10,0.20,0.00,12.22,0.20,-1.00,-1.00,4.07,16.62,1.68,0.43,0.17,0.33,0.33,0.10,-0.04,20.83,0.60,-1.00,-1.00,34.00,-0.11,0.32,0.06,12.99,0.36,-1.00,-1.00,0.00,-0.04,0.05,0.22,-0.01,-0.22,0.00,-4.39,33.04,0.72,0.81,-1.00,-1.00,0.07,46.23,41.74,0.19,-21.93,1457,,,,,
5173,Robohawks,4.74,-0.01,0.14,0.14,0.03,0.00,1.72,0.03,-1.00,-1.00,0.57,6.59,2.44,-0.12,0.24,0.33,0.30,0.34,-0.04,36.40,1.73,-1.00,-1.00,75.38,0.05,0.48,0.25,38.75,0.86,-1.00,-1.00,0.00,-0.04,-0.01,0.00,-0.09,-0.14,-2.42,-3.38,38.12,0.94,1.76,-1.00,-1.00,0.37,78.60,74.75,0.48,37.60,1528,,,,,
5255,Robotic Tigers,1.05,-0.01,-0.42,-0.42,0.24,0.00,14.27,0.24,-1.00,-1.00,4.76,14.90,-2.51,0.08,-0.14,0.33,0.27,-0.21,0.06,8.41,-0.11,-1.00,-1.00,13.04,-0.15,0.27,-0.03,4.78,0.25,-1.00,-1.00,0.00,0.06,0.12,0.11,-0.22,-0.16,-4.88,-3.35,22.67,0.45,0.13,-1.00,-1.00,-0.56,24.59,30.52,0.02,-28.89,1339,,,,,
5316,The Architects,5.61,0.00,0.25,0.25,0.19,0.00,11.45,0.19,-1.00,-1.00,3.82,17.31,0.97,-0.17,0.05,0.33,0.39,0.40,0.01,37.40,2.20,-1.00,-1.00,76.04,0.36,0.20,0.20,38.59,0.63,-1.00,-1.00,0.00,0.01,0.16,0.15,0.34,-0.14,9.29,-2.76,48.85,1.13,2.39,-1.00,-1.00,0.30,90.60,91.28,0.22,-6.04,1481,,,,,
