,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,subtracted Opponent teleop Fuel Points,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2064,The Panther Project,3,3.54,-0.27,-0.85,-0.93,0.40,0.00,24.27,0.40,-1.00,-1.00,8.09,26.89,-0.40,-6.44,-2.41,0.33,0.34,0.38,-0.04,24.51,1.55,-1.00,-1.00,22.44,0.03,0.06,-0.08,0.34,0.14,-1.00,-1.00,-0.07,-0.04,-0.21,0.01,0.37,0.05,8.18,1.19,48.77,1.02,1.95,-1.00,-1.00,-3.33,50.51,44.88,0.01,-37.91,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6742,Blue Jays,3,-0.11,-0.17,-1.84,-1.87,-0.01,0.00,-0.56,-0.01,-1.00,-1.00,-0.19,-2.54,-2.65,0.28,-0.24,0.33,0.39,0.05,0.00,31.76,1.04,-1.00,-1.00,42.66,0.23,-0.10,0.09,11.13,0.17,-1.00,-1.00,-0.06,0.00,0.12,0.15,0.50,0.20,13.16,5.63,31.20,0.78,1.03,-1.00,-1.00,-2.11,45.74,44.87,0.20,-22.69,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3571,Milton Mustangs,3,1.49,0.00,-0.41,-0.41,0.01,0.00,0.68,0.01,-1.00,-1.00,0.23,1.76,-0.01,-1.50,-0.47,0.33,0.34,0.01,-0.04,25.30,0.47,-1.00,-1.00,37.93,0.20,-0.08,0.14,13.09,0.33,-1.00,-1.00,0.00,-0.04,0.11,0.07,-0.24,0.36,-5.45,9.25,25.99,0.64,0.48,-1.00,-1.00,-0.88,48.94,44.84,0.11,-9.21,1394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2344,The Saunders Droid Factory ,2,3.28,-0.10,-0.17,-0.16,0.02,0.00,1.09,0.02,-1.00,-1.00,0.36,4.98,-0.34,-0.50,-0.16,0.32,0.23,0.01,-0.01,20.30,0.51,-1.00,-1.00,34.14,0.05,0.05,0.04,11.04,-1.00,-1.00,-1.00,-0.00,-0.01,0.18,-0.00,0.20,-0.01,5.41,0.04,25.23,0.60,0.58,-1.00,-1.00,-0.16,44.79,44.77,0.09,-13.54,1444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5954,Portable Chargers,3,4.47,-0.09,-0.03,-0.05,0.18,0.00,10.60,0.18,-1.00,-1.00,3.53,15.02,0.18,-0.07,0.03,0.33,0.29,0.29,0.00,29.49,1.55,-1.00,-1.00,23.95,-0.16,0.06,-0.02,-5.57,0.14,-1.00,-1.00,0.00,0.00,0.36,0.14,-0.02,0.20,1.26,5.76,40.08,0.91,1.73,-1.00,-1.00,-0.02,44.74,44.74,0.13,-29.62,1409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4262,RoboHawk,3,5.31,0.14,-0.34,-0.31,-0.10,0.00,-5.74,-0.10,-1.00,-1.00,-1.91,-0.74,-0.02,2.96,1.02,0.31,0.25,-0.01,0.00,25.56,0.54,-1.00,-1.00,49.35,0.40,0.12,-0.07,22.77,0.25,-1.00,-1.00,0.00,0.00,0.22,0.28,-0.11,-0.21,-1.61,-3.88,19.81,0.54,0.44,-1.00,-1.00,0.71,44.73,44.73,0.27,15.14,1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5758,UF C-Bots,3,5.77,-0.00,-0.46,-0.46,0.13,0.00,7.58,0.13,-1.00,-1.00,2.53,12.90,3.09,-2.26,-0.39,0.35,0.41,-0.17,0.00,18.90,0.05,-1.00,-1.00,35.81,0.27,-0.00,0.08,17.30,0.20,-1.00,-1.00,-0.00,0.00,-0.01,-0.00,0.04,-0.17,0.97,-4.31,26.49,0.60,0.18,-1.00,-1.00,-0.85,44.40,44.70,0.19,-19.65,1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6482,Wildcat Robotics,3,3.52,0.00,0.18,0.18,0.03,0.00,2.02,0.03,-1.00,-1.00,0.67,5.71,1.22,0.06,0.16,0.33,0.10,0.04,0.00,17.69,0.33,-1.00,-1.00,34.71,0.07,0.11,0.16,16.86,0.18,-1.00,-1.00,0.00,0.00,0.54,0.20,0.07,0.13,4.33,4.27,19.70,0.48,0.37,-1.00,-1.00,0.34,44.69,44.69,0.20,10.88,1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5523,RoboWarriors,3,5.53,-0.22,-0.74,-0.83,0.05,0.00,3.25,0.05,-1.00,-1.00,1.08,7.95,-0.14,0.61,0.13,0.33,0.26,-0.12,-0.00,16.69,-0.03,-1.00,-1.00,38.51,0.14,0.26,0.03,21.69,0.64,-1.00,-1.00,0.00,-0.00,0.18,0.16,-0.02,-0.09,0.29,-1.49,19.94,0.47,0.02,-1.00,-1.00,-0.70,44.97,44.64,0.31,-14.72,1364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,Hamilton Microbots,2,3.27,-0.10,-0.18,-0.17,0.02,0.00,1.04,0.02,-1.00,-1.00,0.35,4.92,-0.35,-0.52,-0.17,0.32,0.23,0.01,-0.01,20.24,0.50,-1.00,-1.00,34.02,0.04,0.05,0.04,10.95,-1.00,-1.00,-1.00,-0.00,-0.01,0.18,-0.01,0.20,-0.02,5.45,0.00,25.17,0.60,0.58,-1.00,-1.00,-0.17,44.65,44.63,0.09,-13.73,1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3957,4-H/Redbank Robotics,3,5.92,-0.05,0.65,0.64,-0.09,0.00,-5.32,-0.09,-1.00,-1.00,-1.77,1.24,2.17,-0.66,-0.10,0.33,0.28,0.37,-0.02,42.28,2.02,-1.00,-1.00,47.64,0.07,0.07,-0.03,5.47,0.36,-1.00,-1.00,0.00,-0.02,-0.10,-0.02,-0.03,-0.08,-1.31,-2.02,36.96,0.97,1.93,-1.00,-1.00,0.54,46.86,44.62,0.01,-30.37,1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6632,NHSS Robotics,3,3.83,-0.17,-1.01,-1.06,0.11,0.00,6.71,0.11,-1.00,-1.00,2.24,9.48,-0.41,6.41,2.10,0.35,0.30,0.00,0.00,21.22,0.49,-1.00,-1.00,35.03,0.20,0.01,0.02,11.71,0.25,-1.00,-1.00,-0.01,0.00,-0.17,0.07,0.30,-0.01,6.67,0.19,27.93,0.64,0.61,-1.00,-1.00,1.04,44.70,44.58,0.10,-10.46,1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5510,The Da Vinci Coders,3,4.84,0.01,-0.93,-0.92,-0.09,0.00,-5.69,-0.09,-1.00,-1.00,-1.90,-1.77,2.25,3.84,1.46,0.33,0.29,0.14,0.01,34.47,1.29,-1.00,-1.00,45.94,0.17,0.08,-0.05,10.01,0.22,-1.00,-1.00,-0.02,0.01,-0.02,0.07,-0.07,-0.03,-1.82,-0.31,28.78,0.77,1.19,-1.00,-1.00,0.54,43.85,44.57,0.19,-0.50,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070,Royals,3,3.25,0.04,0.64,0.64,0.02,0.00,1.43,0.02,-1.00,-1.00,0.48,5.32,0.07,-0.52,-0.15,0.33,0.34,0.02,-0.06,24.71,0.42,-1.00,-1.00,46.38,0.10,0.38,-0.04,21.83,0.50,-1.00,-1.00,-0.03,-0.06,0.01,0.13,0.19,-0.07,4.88,-1.10,26.14,0.64,0.44,-1.00,-1.00,0.50,50.61,44.54,-0.05,-43.16,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4985,elkSPLOSION,3,3.59,0.01,0.32,0.32,-0.03,0.00,-1.70,-0.03,-1.00,-1.00,-0.57,2.22,-2.13,-0.24,-0.43,0.33,0.11,-0.10,0.00,14.79,-0.15,-1.00,-1.00,43.86,0.14,0.20,0.25,29.50,0.27,-1.00,-1.00,0.00,0.00,0.09,-0.04,-0.10,-0.05,-1.99,-1.57,13.09,0.34,-0.18,-1.00,-1.00,-0.11,44.51,44.51,0.21,-15.53,1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6355,Robots Over Parma,3,1.87,-0.31,0.98,0.90,-0.11,0.00,-6.73,-0.11,-1.00,-1.00,-2.24,-3.95,-0.02,0.14,0.08,0.33,0.32,0.04,0.01,32.71,0.98,-1.00,-1.00,44.30,0.27,0.19,-0.24,11.51,0.11,-1.00,-1.00,-0.01,0.01,0.66,0.05,0.08,0.12,5.24,3.22,25.98,0.71,0.87,-1.00,-1.00,0.98,43.57,44.47,0.08,-41.45,1369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Moderate Heat,3,4.83,-0.26,0.02,-0.06,-0.05,0.00,-2.93,-0.05,-1.00,-1.00,-0.98,1.84,0.07,2.82,0.92,0.33,0.34,-0.01,-0.06,26.00,0.31,-1.00,-1.00,45.73,0.12,0.18,0.08,18.81,0.33,-1.00,-1.00,-0.01,-0.06,-0.09,-0.09,0.20,0.15,4.60,3.41,23.07,0.60,0.26,-1.00,-1.00,0.86,50.98,44.42,-0.09,-43.80,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472,Centurions,3,3.29,-1.13,-0.06,-0.41,-0.01,0.00,-0.47,-0.01,-1.00,-1.00,-0.16,2.41,2.14,-5.46,-1.54,0.33,0.22,-0.04,-0.01,20.17,0.20,-1.00,-1.00,36.51,0.26,0.07,0.03,17.87,0.50,-1.00,-1.00,0.00,-0.01,0.01,0.08,-0.12,0.25,-2.99,6.60,19.70,0.50,0.20,-1.00,-1.00,-1.95,45.51,44.42,0.03,-4.90,1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3388,Flash,3,3.72,-0.04,2.41,2.41,0.12,0.00,7.22,0.12,-1.00,-1.00,2.41,13.34,0.09,16.57,5.26,0.33,0.33,-0.02,-0.17,14.39,-0.53,-1.00,-1.00,45.29,0.37,-0.06,0.20,25.64,0.73,-1.00,-1.00,-0.00,-0.17,-0.07,-0.03,0.41,0.10,9.89,2.23,21.60,0.48,-0.41,-1.00,-1.00,7.67,60.86,44.25,-0.00,-29.72,1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4533,Wando Adv. Robotics,3,4.32,0.07,0.02,0.04,-0.15,-0.03,-10.88,-0.18,-1.00,-1.00,-3.63,-6.52,0.33,-0.21,-0.07,0.33,0.34,0.02,0.00,34.92,0.95,-1.00,-1.00,56.50,0.10,0.17,0.16,21.65,0.58,-1.00,-1.00,0.00,0.00,0.01,-0.25,-0.08,-0.19,-2.00,-6.07,24.04,0.69,0.77,-1.00,-1.00,-0.03,43.91,44.16,0.24,-3.90,1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6737,H.R.T,3,4.28,0.00,0.29,0.29,-0.09,0.00,-5.55,-0.09,-1.00,-1.00,-1.85,-0.98,0.88,0.08,0.10,0.33,0.42,-0.04,0.00,32.18,0.76,-1.00,-1.00,48.78,0.11,0.12,0.10,16.51,0.33,-1.00,-1.00,0.00,0.00,0.40,0.32,-0.03,-0.21,1.32,-3.68,26.63,0.71,0.66,-1.00,-1.00,0.39,44.12,44.12,0.02,-22.35,1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3491,FUTURE Dinos,3,5.00,0.00,0.28,0.28,-0.01,0.00,-0.78,-0.01,-1.00,-1.00,-0.26,4.50,0.06,-2.24,-0.68,0.33,0.35,-0.11,-0.05,21.59,-0.01,-1.00,-1.00,40.68,0.09,0.20,0.10,19.77,0.30,-1.00,-1.00,-0.01,-0.05,0.29,0.16,0.41,0.11,11.82,3.56,20.81,0.53,-0.02,-1.00,-1.00,-0.39,48.75,44.05,-0.10,-57.01,1379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4180,Iron Riders,3,1.89,0.17,-0.01,-0.01,0.02,0.00,1.41,0.02,-1.00,-1.00,0.47,3.29,-0.10,-0.17,0.00,0.34,0.26,0.19,-0.02,30.13,1.18,-1.00,-1.00,38.99,0.12,0.14,-0.09,8.86,0.33,-1.00,-1.00,0.00,-0.02,0.18,0.05,-0.18,0.12,-3.46,3.23,31.53,0.78,1.20,-1.00,-1.00,-0.01,45.50,43.94,-0.06,-48.56,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733,Pigmice,3,2.79,0.00,-0.13,-0.13,0.00,0.00,0.09,0.00,-1.00,-1.00,0.03,2.75,0.04,2.42,0.74,0.33,0.34,0.14,-0.00,32.71,1.25,-1.00,-1.00,39.61,0.17,-0.20,0.15,6.16,0.25,-1.00,-1.00,0.00,-0.00,0.31,0.19,0.35,0.03,10.43,1.69,32.80,0.82,1.25,-1.00,-1.00,0.62,44.05,43.87,-0.04,-38.15,1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4299,BCS Robo Sharks,2,3.23,-0.11,-0.20,-0.19,0.01,0.00,0.73,0.01,-1.00,-1.00,0.24,4.60,-0.40,-0.64,-0.21,0.32,0.23,0.01,-0.01,19.92,0.48,-1.00,-1.00,33.37,0.04,0.04,0.04,10.43,-1.00,-1.00,-1.00,-0.00,-0.01,0.18,-0.01,0.21,-0.02,5.65,-0.20,24.83,0.59,0.56,-1.00,-1.00,-0.23,43.90,43.87,0.08,-14.75,1394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5705,DESERT EAGLES,3,4.57,-0.48,-0.23,-0.37,0.10,0.00,5.77,0.10,-1.00,-1.00,1.92,9.97,0.71,3.48,1.21,0.33,0.20,0.04,0.00,18.74,0.53,-1.00,-1.00,35.46,-0.00,0.14,0.17,15.51,0.53,-1.00,-1.00,0.03,0.00,0.49,-0.14,0.23,-0.06,8.28,-2.17,24.51,0.56,0.62,-1.00,-1.00,0.84,43.26,43.86,-0.15,-51.44,1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3292,The Aluminum Falcon,2,3.23,-0.11,-0.20,-0.19,0.01,0.00,0.72,0.01,-1.00,-1.00,0.24,4.59,-0.40,-0.64,-0.21,0.32,0.23,0.01,-0.01,19.92,0.48,-1.00,-1.00,33.35,0.04,0.04,0.04,10.42,-1.00,-1.00,-1.00,-0.00,-0.01,0.18,-0.01,0.21,-0.02,5.65,-0.21,24.83,0.59,0.56,-1.00,-1.00,-0.23,43.88,43.85,0.08,-14.77,1417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4649,HeavyMech,3,3.60,0.09,0.46,0.46,-0.00,0.00,-0.03,-0.00,-1.00,-1.00,-0.01,4.04,0.10,1.38,0.46,0.33,0.34,0.17,0.00,33.84,1.36,-1.00,-1.00,40.25,0.01,0.10,0.01,5.95,0.38,-1.00,-1.00,0.01,0.00,-0.08,0.34,-0.05,-0.09,-1.60,-0.64,33.81,0.85,1.36,-1.00,-1.00,0.92,43.64,43.83,0.05,-54.19,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4782,Borrebots CSN,3,3.21,0.02,0.06,0.07,-0.10,0.00,-5.93,-0.10,-1.00,-1.00,-1.98,-2.64,-0.53,-0.05,-0.02,0.37,0.62,0.11,0.00,47.74,1.78,-1.00,-1.00,43.76,-0.14,0.13,-0.06,-3.95,0.08,-1.00,-1.00,0.00,0.00,0.08,-0.24,0.13,0.16,3.55,2.69,41.81,1.09,1.68,-1.00,-1.00,0.05,43.81,43.81,0.14,0.83,1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5974,Mechanical Dragons,3,2.54,0.00,1.63,1.63,0.12,0.00,7.32,0.12,-1.00,-1.00,2.44,11.49,-2.15,-0.41,-0.35,0.33,0.04,-0.02,0.00,9.01,-0.18,-1.00,-1.00,36.24,0.20,0.12,0.23,27.58,0.40,-1.00,-1.00,0.01,0.00,0.15,0.17,0.08,-0.20,2.87,-4.15,16.33,0.35,-0.06,-1.00,-1.00,1.28,43.57,43.76,0.20,-5.67,1453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6627,Niles Career Tech Robotics,3,5.33,-0.01,-0.44,-0.44,0.12,0.00,7.09,0.12,-1.00,-1.00,2.36,11.98,0.63,0.87,0.40,0.33,0.28,0.08,0.01,23.34,0.82,-1.00,-1.00,36.44,0.24,-0.02,0.04,12.70,0.33,-1.00,-1.00,0.00,0.01,0.01,-0.07,0.28,-0.23,7.14,-6.02,30.43,0.70,0.94,-1.00,-1.00,-0.04,42.40,43.71,0.12,-33.11,1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4015,Jag,3,5.38,0.00,-0.21,-0.21,0.07,0.00,4.35,0.07,-1.00,-1.00,1.45,9.53,0.14,-1.33,-0.42,0.33,0.37,0.07,0.00,28.20,0.96,-1.00,-1.00,31.95,0.12,0.04,-0.07,4.17,0.13,-1.00,-1.00,0.00,0.00,-0.14,0.57,0.19,-0.03,4.03,2.23,32.55,0.78,1.04,-1.00,-1.00,-0.63,43.71,43.71,0.09,-35.94,1336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5010,Tiger Dynasty,3,3.82,0.00,0.25,0.25,0.31,0.00,18.66,0.31,-1.00,-1.00,6.22,22.73,-0.01,-1.02,-0.34,0.33,0.34,0.31,-0.19,19.72,0.51,-1.00,-1.00,39.64,-0.11,0.20,0.31,20.26,0.58,-1.00,-1.00,0.00,-0.19,-0.22,0.03,-0.03,-0.01,-1.73,-0.11,38.38,0.80,0.82,-1.00,-1.00,-0.09,62.25,43.66,0.06,-37.46,1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4593,Rapid Acceleration,3,3.93,-0.61,0.07,-0.12,-0.09,0.00,-5.25,-0.09,-1.00,-1.00,-1.75,-1.43,-2.86,-0.67,-0.52,0.33,0.40,-0.14,-0.00,27.08,0.27,-1.00,-1.00,44.40,-0.07,0.16,0.27,17.84,0.45,-1.00,-1.00,-0.00,-0.00,0.29,-0.09,-0.16,0.05,-2.49,0.88,21.83,0.59,0.19,-1.00,-1.00,-0.64,43.84,43.64,0.10,-21.60,1415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6659,Cougar Robotics,3,5.16,0.19,-0.37,-0.31,-0.03,0.00,-1.60,-0.03,-1.00,-1.00,-0.53,3.24,3.77,0.29,0.48,0.33,0.18,-0.07,0.00,18.78,0.11,-1.00,-1.00,38.00,-0.10,0.31,0.16,18.74,0.38,-1.00,-1.00,0.00,0.00,0.02,-0.25,-0.01,0.15,-0.24,2.36,17.18,0.44,0.08,-1.00,-1.00,0.17,43.61,43.61,0.25,24.91,1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5570,Ookpik,3,3.82,-0.04,-0.11,-0.12,-0.10,0.00,-5.89,-0.10,-1.00,-1.00,-1.96,-2.19,1.70,-1.10,-0.30,0.33,0.09,-0.13,0.00,15.73,-0.25,-1.00,-1.00,28.00,0.21,-0.19,0.24,12.57,0.20,-1.00,-1.00,-0.00,0.00,-0.00,0.48,-0.16,0.62,-3.95,17.87,9.84,0.30,-0.35,-1.00,-1.00,-0.42,43.68,43.59,-0.01,-11.63,1376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Team PCD,3,4.41,0.00,0.37,0.37,0.19,0.00,11.68,0.19,-1.00,-1.00,3.89,16.46,1.96,9.10,3.35,0.35,0.38,-0.09,-0.01,17.48,0.17,-1.00,-1.00,19.97,0.14,-0.26,0.10,-0.86,0.30,-1.00,-1.00,0.09,-0.01,0.00,0.05,0.32,0.23,7.91,6.11,29.15,0.63,0.36,-1.00,-1.00,3.73,42.54,43.58,-0.28,-62.11,1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5429,Black Knights,3,4.49,0.12,0.12,0.16,-0.18,0.00,-10.54,-0.18,-1.00,-1.00,-3.51,-5.89,1.45,0.69,0.34,0.33,0.29,0.10,0.00,36.05,1.11,-1.00,-1.00,55.03,0.17,0.46,-0.26,18.64,0.50,-1.00,-1.00,0.00,0.00,-0.17,0.02,0.14,-0.23,2.71,-5.56,25.51,0.73,0.93,-1.00,-1.00,0.50,43.58,43.58,0.26,-12.96,1454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5118,KHS,3,1.40,-0.20,0.01,-0.05,0.05,-0.00,2.53,0.04,-1.00,-1.00,0.84,3.87,-1.85,0.52,-0.11,0.33,0.33,0.01,0.03,26.84,0.88,-1.00,-1.00,32.13,-0.04,-0.00,0.15,5.40,0.08,-1.00,-1.00,-0.01,0.03,0.03,-0.10,-0.11,0.19,-2.70,4.27,29.37,0.71,0.92,-1.00,-1.00,-0.16,40.27,43.57,-0.04,-42.47,1385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6616,Mechanical Pumas,3,5.09,0.08,0.57,0.59,-0.14,0.00,-8.45,-0.14,-1.00,-1.00,-2.82,-2.76,-0.51,-0.77,-0.41,0.33,0.10,-0.09,-0.01,18.84,-0.08,-1.00,-1.00,51.20,0.17,0.13,0.36,32.77,0.67,-1.00,-1.00,0.00,-0.01,0.04,0.15,1.11,-0.19,28.03,-4.05,10.40,0.33,-0.22,-1.00,-1.00,0.18,44.38,43.56,-0.08,-46.25,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6323,Hayden Robotics,3,2.01,-0.04,0.03,-0.01,0.15,0.00,9.11,0.15,-1.00,-1.00,3.04,11.11,1.54,-1.07,-0.28,0.34,0.38,0.21,0.00,31.11,1.45,-1.00,-1.00,24.82,-0.24,0.05,0.06,-6.00,0.53,-1.00,-1.00,0.00,0.00,0.16,0.32,0.05,0.24,2.08,7.60,40.22,0.93,1.60,-1.00,-1.00,-0.29,43.53,43.53,0.09,-23.04,1361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5729,Lennox MAAD Dragons,3,5.84,0.01,-0.44,-0.44,0.08,0.00,4.86,0.08,-1.00,-1.00,1.62,10.26,6.97,-0.79,0.34,0.37,0.31,-0.04,0.00,22.53,0.46,-1.00,-1.00,28.09,0.04,-0.01,0.07,5.21,0.11,-1.00,-1.00,0.00,0.00,-0.11,0.17,-0.15,0.17,-4.31,5.17,27.39,0.64,0.54,-1.00,-1.00,-0.09,43.52,43.52,-0.01,-12.80,1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5559,Gear Grinders,3,5.19,0.00,0.80,0.80,-0.13,0.00,-7.55,-0.13,-1.00,-1.00,-2.52,-1.56,-0.23,3.90,1.18,0.33,0.29,0.11,0.00,34.24,1.14,-1.00,-1.00,47.61,-0.12,0.09,0.28,12.19,0.46,-1.00,-1.00,0.00,0.00,-0.09,-0.03,0.02,-0.10,-0.05,-2.56,26.69,0.73,1.02,-1.00,-1.00,1.98,43.49,43.49,0.24,14.24,1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6589,Cardinal.EXE,3,4.54,0.00,0.01,0.01,0.18,0.00,10.65,0.18,-1.00,-1.00,3.55,15.20,-0.21,0.13,0.02,0.33,0.34,0.39,-0.00,35.35,2.04,-1.00,-1.00,22.22,-0.14,-0.03,-0.09,-13.15,0.08,-1.00,-1.00,0.00,-0.00,0.30,0.20,0.04,0.20,2.40,6.13,46.00,1.06,2.22,-1.00,-1.00,0.03,43.55,43.37,-0.07,-32.68,1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4507,TARminators,3,-0.89,-0.05,0.13,0.12,-0.10,0.00,-5.82,-0.10,-1.00,-1.00,-1.94,-6.59,-0.90,-1.70,-0.65,0.34,0.14,0.04,-0.02,24.01,0.43,-1.00,-1.00,53.50,0.17,0.09,0.34,30.14,0.17,-1.00,-1.00,-0.02,-0.02,0.27,0.28,-0.10,-0.09,-1.07,-0.90,18.20,0.50,0.33,-1.00,-1.00,-0.53,46.01,43.34,0.11,-37.23,1264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5728,CCybernetics,3,4.24,0.42,0.35,0.48,-0.01,0.00,-0.35,-0.01,-1.00,-1.00,-0.12,4.37,-1.24,0.88,0.10,0.35,0.36,0.12,-0.01,32.62,1.13,-1.00,-1.00,46.00,0.17,-0.07,0.16,13.28,0.44,-1.00,-1.00,-0.00,-0.01,-0.10,0.29,0.41,-0.29,9.63,-5.83,32.26,0.81,1.12,-1.00,-1.00,0.58,44.55,43.34,-0.09,-39.65,1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
