Minnesota10000Lakes,mnmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
2508,Armada,2,4.08,0.08,0.27,0.28,0.11,0.00,6.56,0.11,-1.00,-1.00,2.19,10.66,0.55,1.58,0.52,0.34,0.30,0.10,0.00,25.92,0.92,-1.00,-1.00,45.71,0.15,0.15,0.14,20.24,-1.00,-1.00,-1.00,0.00,0.00,0.06,0.12,0.06,0.13,1.84,3.60,31.21,0.73,1.01,-1.00,-1.00,0.74,58.12,58.28,0.19,4.45,1459,,,,,
2509,Tigerbots,3,6.38,0.00,-0.03,-0.03,0.36,0.00,21.33,0.36,-1.00,-1.00,7.11,27.68,-0.18,3.83,1.24,0.33,0.41,0.15,-0.03,20.09,0.86,-1.00,-1.00,54.93,0.34,0.32,0.00,33.59,0.80,-1.00,-1.00,0.00,-0.03,0.18,0.11,0.08,0.01,2.84,0.67,41.43,0.86,1.21,-1.00,-1.00,1.21,83.28,79.92,0.51,61.62,1567,,,,,
2511,Cougars,2,4.27,0.12,0.38,0.38,0.13,0.00,7.91,0.13,-1.00,-1.00,2.64,12.06,0.77,2.10,0.69,0.34,0.32,0.12,0.01,27.30,1.02,-1.00,-1.00,48.56,0.17,0.17,0.17,22.51,-1.00,-1.00,-1.00,0.00,0.01,0.03,0.15,0.02,0.16,0.96,4.48,32.69,0.77,1.12,-1.00,-1.00,0.97,61.41,61.61,0.22,8.88,1384,,,,,
2513,T.E.R.T.O.L.A.,2,3.63,-0.02,0.02,0.03,0.06,0.00,3.49,0.06,-1.00,-1.00,1.16,7.47,0.05,0.41,0.14,0.33,0.26,0.05,-0.00,22.77,0.69,-1.00,-1.00,39.22,0.09,0.09,0.09,15.08,-1.00,-1.00,-1.00,-0.00,-0.00,0.12,0.05,0.14,0.05,3.84,1.60,27.86,0.66,0.77,-1.00,-1.00,0.23,50.64,50.70,0.13,-5.65,1462,,,,,
2515,TigerBots,2,3.87,0.03,0.15,0.16,0.09,0.00,5.13,0.09,-1.00,-1.00,1.71,9.17,0.32,1.04,0.34,0.33,0.29,0.08,0.00,24.45,0.81,-1.00,-1.00,42.69,0.12,0.12,0.12,17.84,-1.00,-1.00,-1.00,0.00,0.00,0.09,0.08,0.09,0.09,2.77,2.67,29.65,0.70,0.90,-1.00,-1.00,0.51,54.64,54.75,0.17,-0.26,1367,,,,,
2518,Spartans,3,3.34,0.00,0.13,0.13,-0.10,0.00,-5.90,-0.10,-1.00,-1.00,-1.97,-2.43,-1.24,-1.86,-0.83,0.33,0.41,-0.06,-0.00,31.25,0.65,-1.00,-1.00,48.69,0.10,0.10,0.17,18.27,0.63,-1.00,-1.00,0.00,-0.00,-0.01,0.12,0.08,0.32,2.07,8.53,25.35,0.68,0.55,-1.00,-1.00,-0.70,54.79,54.39,0.07,-33.88,1454,,,,,
2529,Robohawks,2,3.42,-0.07,-0.10,-0.09,0.03,0.00,2.03,0.03,-1.00,-1.00,0.68,5.95,-0.18,-0.14,-0.05,0.32,0.25,0.03,-0.01,21.26,0.58,-1.00,-1.00,36.12,0.06,0.06,0.06,12.62,-1.00,-1.00,-1.00,-0.00,-0.01,0.16,0.02,0.17,0.01,4.80,0.65,26.26,0.62,0.66,-1.00,-1.00,-0.01,47.07,47.08,0.11,-10.46,1395,,,,,
2532,FLASH Power,2,3.11,-0.14,-0.27,-0.26,-0.00,0.00,-0.08,-0.00,-1.00,-1.00,-0.03,3.76,-0.53,-0.95,-0.31,0.31,0.22,-0.01,-0.01,19.09,0.42,-1.00,-1.00,31.65,0.02,0.02,0.02,9.06,-1.00,-1.00,-1.00,-0.01,-0.01,0.20,-0.03,0.23,-0.04,6.18,-0.73,23.95,0.57,0.49,-1.00,-1.00,-0.36,41.92,41.87,0.07,-17.41,1432,,,,,
2545,Quantum Mechanics,2,4.02,0.06,0.24,0.25,0.10,0.00,6.19,0.10,-1.00,-1.00,2.06,10.27,0.49,1.44,0.48,0.33,0.30,0.10,0.00,25.54,0.89,-1.00,-1.00,44.92,0.14,0.14,0.13,19.62,-1.00,-1.00,-1.00,0.00,0.00,0.06,0.11,0.07,0.12,2.08,3.36,30.81,0.72,0.98,-1.00,-1.00,0.68,57.21,57.36,0.19,3.22,1441,,,,,
2823,The Automatons,3,3.96,0.00,0.80,0.80,0.08,0.00,4.75,0.08,-1.00,-1.00,1.58,9.50,-0.88,3.71,0.91,0.33,0.15,-0.03,-0.01,14.63,0.03,-1.00,-1.00,51.14,0.58,0.09,0.05,35.61,0.75,-1.00,-1.00,0.00,-0.01,-0.10,-0.10,0.07,0.07,1.31,1.32,19.37,0.44,0.11,-1.00,-1.00,1.71,61.96,60.82,0.20,6.31,1513,,,,,
