PNWMountVernon,wamou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
2980,The Whidbey Island Wild Cats,1.29,0.00,0.70,0.70,0.04,0.00,2.61,0.04,-1.00,-1.00,0.87,4.60,-0.07,-0.07,0.02,0.34,0.35,0.25,0.04,37.71,1.93,-1.00,-1.00,65.90,0.11,0.39,0.07,28.17,0.40,-1.00,-1.00,0.00,0.04,0.04,0.15,0.16,0.04,4.09,1.78,40.32,0.99,1.97,-1.00,-1.00,0.73,72.28,76.45,0.05,-8.46,1493,,,,,
3070,Team Pronto,5.36,0.00,-0.07,-0.07,0.29,0.00,17.33,0.29,-1.00,-1.00,5.78,22.62,-0.02,0.51,0.13,0.34,0.37,0.29,-0.01,28.25,1.57,-1.00,-1.00,59.14,0.37,0.20,0.04,30.76,0.60,-1.00,-1.00,0.00,-0.01,-0.10,0.23,0.11,0.07,2.18,2.78,45.58,1.00,1.86,-1.00,-1.00,0.06,84.54,83.73,0.16,16.25,1460,,,,,
3238,Cyborg Ferrets,5.03,0.00,-0.22,-0.22,0.28,0.00,16.95,0.28,-1.00,-1.00,5.65,21.76,0.01,2.32,0.82,0.34,0.38,0.64,0.23,52.24,4.43,-1.00,-1.00,108.93,0.42,0.29,0.41,55.87,1.00,-1.00,-1.00,0.00,0.23,0.17,0.16,0.09,0.22,3.07,6.43,69.19,1.59,4.71,-1.00,-1.00,0.60,137.12,160.01,0.45,67.97,1645,,,,,
3268,Vahallabots,0.68,0.00,0.04,0.04,0.22,0.00,13.30,0.22,-1.00,-1.00,4.43,14.02,-0.03,0.77,0.30,0.34,0.19,0.01,-0.02,12.37,0.12,-1.00,-1.00,6.48,-0.03,-0.14,0.05,-6.20,0.08,-1.00,-1.00,0.00,-0.02,0.04,-0.02,0.05,-0.00,1.55,-0.20,25.67,0.53,0.34,-1.00,-1.00,0.34,20.30,18.43,-0.16,-73.52,1295,,,,,
3663,CPR - Cedar Park Robotics,5.50,0.00,-0.33,-0.33,0.30,0.00,17.77,0.30,-1.00,-1.00,5.92,22.94,0.03,0.75,0.17,0.34,0.35,0.47,-0.04,33.03,2.06,-1.00,-1.00,67.42,0.03,0.32,0.33,34.22,0.68,-1.00,-1.00,0.00,-0.04,0.07,-0.01,-0.02,0.09,-0.10,2.20,50.80,1.12,2.36,-1.00,-1.00,-0.17,92.56,88.81,0.14,7.99,1544,,,,,
3826,"Sequim Robotics Federation ""SRF"" ",5.14,0.00,0.32,0.32,0.00,0.00,0.25,0.00,-1.00,-1.00,0.08,5.71,0.15,1.38,0.34,0.35,0.37,0.25,-0.01,37.80,1.66,-1.00,-1.00,70.72,0.28,0.34,0.03,32.58,0.60,-1.00,-1.00,0.00,-0.01,-0.08,0.24,0.18,0.06,4.15,2.82,38.06,0.95,1.67,-1.00,-1.00,0.66,79.26,77.96,0.18,17.14,1570,,,,,
4077,M*A*S*H,5.94,0.00,-0.14,-0.14,0.09,0.00,5.30,0.09,-1.00,-1.00,1.77,11.11,0.05,1.11,0.25,0.33,0.36,0.03,-0.03,23.91,0.57,-1.00,-1.00,58.80,0.34,0.02,0.34,34.64,0.71,-1.00,-1.00,0.00,-0.03,-0.04,0.03,-0.02,0.02,-0.78,0.63,29.20,0.69,0.66,-1.00,-1.00,0.11,70.54,67.55,0.19,-0.93,1467,,,,,
4173,Bulldogs,5.55,0.00,-0.68,-0.68,0.10,0.00,6.25,0.10,-1.00,-1.00,2.08,11.12,-0.08,0.23,0.14,0.25,0.27,0.11,-0.03,19.92,0.62,-1.00,-1.00,22.22,0.09,-0.05,0.00,2.16,0.63,-1.00,-1.00,0.00,-0.03,0.01,-0.24,0.02,-0.07,0.49,-2.90,26.17,0.60,0.72,-1.00,-1.00,-0.54,30.43,27.57,0.17,-29.58,1456,,,,,
4180,Iron Riders,4.20,0.00,-0.05,-0.05,0.08,0.00,5.07,0.08,-1.00,-1.00,1.69,9.21,-0.07,-1.18,-0.45,0.33,0.37,0.31,0.06,39.65,2.26,-1.00,-1.00,37.19,-0.15,0.10,0.01,-2.01,0.00,-1.00,-1.00,0.00,0.06,0.07,-0.21,0.03,0.09,0.98,1.31,44.72,1.08,2.34,-1.00,-1.00,-0.50,47.72,53.59,-0.08,-34.92,1467,,,,,
4205,ROBOCUBS,0.80,0.00,0.05,0.05,-0.16,0.00,-9.88,-0.16,-1.00,-1.00,-3.29,-9.03,-0.02,-0.93,-0.37,0.25,0.18,0.15,-0.03,28.42,0.84,-1.00,-1.00,45.84,0.18,0.05,0.13,17.80,0.50,-1.00,-1.00,0.00,-0.03,0.11,0.09,0.01,-0.11,0.66,-2.17,18.53,0.55,0.67,-1.00,-1.00,-0.32,34.64,31.30,0.05,-46.51,1383,,,,,
4512,BEARbots,3.99,0.00,-0.06,-0.06,0.14,0.00,8.31,0.14,-1.00,-1.00,2.77,12.23,-0.07,-1.77,-0.60,0.33,0.27,-0.01,-0.01,17.87,0.30,-1.00,-1.00,25.43,-0.19,0.12,0.22,8.16,0.47,-1.00,-1.00,0.00,-0.01,0.08,-0.23,0.19,-0.02,5.11,-1.56,26.18,0.59,0.44,-1.00,-1.00,-0.66,36.10,34.99,-0.06,-41.40,1395,,,,,
4682,BraveBots,4.39,0.00,0.50,0.50,0.03,0.00,1.77,0.03,-1.00,-1.00,0.59,6.66,0.23,2.55,0.70,0.26,0.28,-0.09,-0.01,16.41,0.04,-1.00,-1.00,63.35,0.20,0.43,0.30,46.24,0.57,-1.00,-1.00,0.00,-0.01,0.32,0.09,0.38,0.29,11.06,7.62,18.18,0.44,0.07,-1.00,-1.00,1.20,77.63,76.40,0.10,-24.74,1425,,,,,
4683,Full-metal Robotics,1.91,0.00,-0.19,-0.19,-0.14,0.00,-8.54,-0.14,-1.00,-1.00,-2.85,-6.82,-0.07,-1.14,-0.37,0.34,0.27,-0.04,0.07,31.37,0.96,-1.00,-1.00,21.57,-0.06,0.04,-0.17,-9.44,0.00,-1.00,-1.00,0.00,0.07,-0.07,-0.17,0.09,-0.18,1.79,-5.22,22.83,0.64,0.82,-1.00,-1.00,-0.55,9.54,16.62,-0.10,-51.73,1324,,,,,
4911,CyberKnights,5.23,0.00,-0.17,-0.17,0.28,0.00,16.80,0.28,-1.00,-1.00,5.60,21.86,-0.04,0.27,0.13,0.34,0.36,0.32,0.06,32.12,2.09,-1.00,-1.00,77.97,0.34,0.28,0.29,45.72,0.94,-1.00,-1.00,0.00,0.06,0.02,-0.03,0.31,-0.20,7.92,-5.23,48.91,1.08,2.37,-1.00,-1.00,-0.05,94.59,100.70,0.25,39.74,1548,,,,,
4918,The Roboctopi,1.93,0.00,1.24,1.24,-0.05,0.00,-3.27,-0.05,-1.00,-1.00,-1.09,-0.10,0.05,61.06,20.24,0.35,0.30,-0.17,-0.01,21.06,-0.07,-1.00,-1.00,63.88,0.29,0.21,-0.05,22.58,0.60,-1.00,-1.00,0.00,-0.01,-0.10,0.05,0.02,0.03,-0.12,1.06,17.79,0.47,-0.13,-1.00,-1.00,21.48,64.84,63.50,0.21,-2.08,1406,,,,,
5295,Aldernating Current,4.77,0.00,-0.15,-0.15,0.31,0.00,18.71,0.31,-1.00,-1.00,6.24,23.33,-0.04,-0.87,-0.26,0.35,0.39,0.05,-0.01,19.15,0.66,-1.00,-1.00,43.76,0.08,0.33,0.09,24.86,0.64,-1.00,-1.00,0.00,-0.01,0.11,0.15,-0.02,0.23,0.03,6.47,37.86,0.79,0.97,-1.00,-1.00,-0.41,73.56,72.97,0.40,29.39,1440,,,,,
5803,Apex Robotics,5.96,0.00,1.76,1.76,0.42,0.00,25.04,0.42,-1.00,-1.00,8.35,32.76,0.02,0.35,0.12,0.34,0.35,0.45,0.15,34.84,2.97,-1.00,-1.00,89.67,0.40,0.39,0.30,54.71,0.95,-1.00,-1.00,0.00,0.15,-0.14,0.18,0.03,0.41,0.15,11.22,59.87,1.29,3.39,-1.00,-1.00,1.88,133.65,148.41,0.38,56.86,1683,,,,,
5941,SPQL,5.31,0.00,-0.40,-0.40,0.07,0.00,4.00,0.07,-1.00,-1.00,1.33,8.92,-0.07,-1.02,-0.29,0.34,0.18,-0.08,-0.02,14.27,-0.11,-1.00,-1.00,63.98,0.47,0.17,0.35,50.00,0.50,-1.00,-1.00,0.00,-0.02,0.02,-0.13,0.43,-0.07,10.99,-2.30,18.28,0.42,-0.04,-1.00,-1.00,-0.68,70.60,68.97,0.22,-15.48,1413,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
