LoneStarCentral,txho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
2881,Lady Cans,4.04,0.00,-0.30,-0.30,0.08,0.00,4.80,0.08,-1.00,-1.00,1.60,8.53,-0.33,3.36,0.94,0.33,0.29,-0.12,-0.00,16.66,-0.01,-1.00,-1.00,57.91,0.14,0.57,0.10,40.31,0.67,-1.00,-1.00,0.01,-0.00,0.08,-0.06,-0.08,-0.12,-1.70,-3.39,21.45,0.50,0.07,-1.00,-1.00,0.64,63.05,62.87,-0.02,-23.53,1473,,,,,
3028,Robot Commando Squad,0.03,0.00,-0.00,-0.00,-0.02,0.00,-1.34,-0.02,-1.00,-1.00,-0.45,-1.31,0.76,1.46,0.62,0.33,0.28,-0.10,-0.03,20.34,0.02,-1.00,-1.00,37.77,-0.19,0.21,0.31,16.81,0.20,-1.00,-1.00,0.00,-0.03,-0.00,-0.00,-0.16,0.04,-4.01,0.96,19.00,0.49,-0.00,-1.00,-1.00,0.62,37.43,34.93,-0.04,-25.97,1324,,,,,
3335,Cy-Borgs,4.34,0.00,-0.40,-0.40,0.05,0.00,3.16,0.05,-1.00,-1.00,1.05,7.10,-0.06,-3.54,-1.15,0.33,0.31,0.36,-0.01,37.43,1.93,-1.00,-1.00,80.75,0.14,0.34,0.41,44.46,0.54,-1.00,-1.00,-0.01,-0.01,-0.02,0.04,0.43,0.27,10.68,6.93,40.59,0.99,1.98,-1.00,-1.00,-1.54,94.78,93.56,0.25,40.02,1541,,,,,
3481,Bronc Botz,5.58,0.00,-0.37,-0.37,-0.16,0.00,-9.53,-0.16,-1.00,-1.00,-3.18,-4.32,-1.32,2.25,0.56,0.33,0.46,-0.01,-0.02,36.98,0.92,-1.00,-1.00,59.53,0.14,0.27,0.03,22.00,0.50,-1.00,-1.00,0.01,-0.02,0.44,-0.10,0.14,0.46,5.78,11.08,27.45,0.77,0.76,-1.00,-1.00,0.19,66.30,64.57,0.07,-10.22,1537,,,,,
3510,Tectronic,3.99,0.00,0.46,0.46,0.03,0.00,1.84,0.03,-1.00,-1.00,0.61,6.28,-0.60,6.59,2.07,0.33,0.30,0.21,-0.03,31.13,1.23,-1.00,-1.00,43.07,0.05,-0.08,0.23,9.87,0.31,-1.00,-1.00,0.02,-0.03,0.13,-0.10,0.07,0.01,2.45,-0.23,32.97,0.81,1.26,-1.00,-1.00,2.53,49.13,47.03,0.23,-25.05,1373,,,,,
3728,Momentum,1.65,0.00,1.23,1.23,-0.16,0.00,-9.43,-0.16,-1.00,-1.00,-3.14,-6.55,-2.91,4.10,1.04,0.33,0.27,-0.03,-0.01,28.53,0.49,-1.00,-1.00,24.13,0.01,0.02,-0.14,-5.45,0.00,-1.00,-1.00,0.01,-0.01,0.30,0.07,-0.00,-0.17,1.47,-3.89,19.10,0.56,0.33,-1.00,-1.00,2.27,13.69,12.79,-0.00,-11.22,1360,,,,,
3735,VorTX,6.19,0.00,0.08,0.08,0.19,0.00,11.29,0.19,-1.00,-1.00,3.76,17.56,-2.83,0.79,0.02,0.33,0.40,0.45,-0.01,39.06,2.33,-1.00,-1.00,85.21,0.23,0.50,0.19,46.13,0.93,-1.00,-1.00,0.03,-0.01,0.06,0.17,-0.21,-0.01,-5.02,0.54,50.35,1.16,2.51,-1.00,-1.00,0.10,103.31,102.93,0.45,72.79,1545,,,,,
3741,CORE G IX,2.27,0.00,-1.09,-1.09,0.11,0.00,6.45,0.11,-1.00,-1.00,2.15,7.63,0.16,-0.56,-0.13,0.33,0.20,0.05,-0.01,18.70,0.43,-1.00,-1.00,39.55,0.08,0.16,0.18,20.98,0.17,-1.00,-1.00,0.01,-0.01,0.03,0.20,0.38,0.51,9.74,13.65,25.15,0.58,0.54,-1.00,-1.00,-1.22,60.83,59.88,0.23,14.09,1507,,,,,
3753,BulahBots!,1.03,0.00,-2.22,-2.22,-0.23,0.00,-13.75,-0.23,-1.00,-1.00,-4.58,-14.94,0.88,5.00,1.77,0.33,0.28,0.06,-0.02,35.86,0.97,-1.00,-1.00,46.22,-0.09,0.08,0.18,8.59,0.20,-1.00,-1.00,0.01,-0.02,0.42,0.14,1.08,-0.25,28.99,-5.47,22.11,0.67,0.74,-1.00,-1.00,-0.45,25.82,24.51,0.10,-45.72,1383,,,,,
3847,Spectrum,5.06,0.00,1.33,1.33,0.09,0.00,5.61,0.09,-1.00,-1.00,1.87,12.00,0.38,-0.06,-0.04,0.33,0.36,0.12,0.00,28.87,1.13,-1.00,-1.00,83.35,0.41,0.20,0.48,54.51,0.65,-1.00,-1.00,-0.01,0.00,0.03,0.03,-0.21,1.08,-5.13,27.05,34.49,0.82,1.22,-1.00,-1.00,1.29,122.39,122.74,0.41,84.10,1636,,,,,
