Iowa,iacf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
2081,Icarus,4.10,-0.03,-0.59,-0.59,0.15,0.00,8.86,0.15,-1.00,-1.00,2.95,12.38,-0.06,-0.54,-0.13,0.33,0.23,0.31,0.03,30.27,1.81,-1.00,-1.00,63.92,0.40,0.17,0.11,33.79,0.64,-1.00,-1.00,0.00,0.03,-0.09,-0.08,-0.23,0.20,-6.26,4.48,39.13,0.90,1.96,-1.00,-1.00,-0.72,80.78,83.64,0.22,-13.63,1462,,,,,
2177,The Robettes,5.82,-0.02,-0.52,-0.52,-0.04,0.00,-2.46,-0.04,-1.00,-1.00,-0.82,2.84,0.27,-0.14,-0.04,0.33,0.27,-0.19,-0.05,16.07,-0.50,-1.00,-1.00,34.01,0.05,0.51,-0.20,17.98,0.56,-1.00,-1.00,0.00,-0.05,0.02,-0.09,0.48,0.14,12.02,2.94,13.61,0.36,-0.54,-1.00,-1.00,-0.56,39.80,34.96,-0.18,-88.34,1314,,,,,
2410,Blue Valley CAPS Metal Mustang Robotics,5.50,0.01,-0.56,-0.56,0.32,0.00,19.49,0.32,-1.00,-1.00,6.50,24.43,1.51,-0.06,0.15,0.33,0.36,0.36,0.33,42.47,3.84,-1.00,-1.00,81.90,0.25,0.35,0.19,39.28,0.90,-1.00,-1.00,0.00,0.33,-0.18,-0.03,0.10,0.50,1.56,12.39,61.96,1.39,4.17,-1.00,-1.00,-0.41,118.73,151.73,0.25,59.96,1613,,,,,
2450,Raiderbots,4.48,-0.01,-0.19,-0.19,0.02,0.00,1.01,0.02,-1.00,-1.00,0.34,5.31,-0.72,-0.13,-0.10,0.33,0.23,-0.10,-0.02,17.39,-0.04,-1.00,-1.00,26.56,-0.13,0.30,0.01,9.27,0.11,-1.00,-1.00,0.00,-0.02,-0.18,0.21,0.33,0.18,7.23,5.46,18.40,0.45,-0.02,-1.00,-1.00,-0.29,37.33,35.39,-0.09,-61.56,1333,,,,,
2500,Herobotics,4.71,-0.02,-0.28,-0.28,0.01,0.00,0.90,0.01,-1.00,-1.00,0.30,5.33,-0.63,0.42,0.02,0.33,0.38,0.29,-0.00,39.13,1.83,-1.00,-1.00,61.04,0.13,-0.00,0.31,21.88,0.44,-1.00,-1.00,0.00,-0.00,-0.08,-0.12,0.13,0.60,2.93,14.30,40.03,0.99,1.84,-1.00,-1.00,-0.26,80.67,80.23,0.23,3.69,1435,,,,,
2512,Duluth East Daredevils,6.02,-0.01,1.07,1.07,0.30,0.00,17.71,0.30,-1.00,-1.00,5.90,24.80,-0.53,0.50,0.16,0.33,0.34,0.47,0.18,41.07,3.32,-1.00,-1.00,103.91,0.43,0.44,0.38,62.68,0.81,-1.00,-1.00,0.00,0.18,0.26,0.09,-0.14,-0.15,-2.30,-3.20,58.78,1.32,3.61,-1.00,-1.00,1.23,125.51,143.37,0.36,66.07,1632,,,,,
2530,Inconceivable,4.40,-0.00,-0.37,-0.37,0.23,0.00,13.90,0.23,-1.00,-1.00,4.63,17.92,0.49,-0.37,-0.01,0.33,0.33,0.22,-0.02,25.23,1.16,-1.00,-1.00,53.80,-0.22,0.32,0.47,28.58,0.67,-1.00,-1.00,0.00,-0.02,0.10,-0.13,-0.13,0.60,-2.77,14.34,39.13,0.86,1.40,-1.00,-1.00,-0.39,86.06,83.68,0.26,33.38,1532,,,,,
2574,RoboHuskie,3.32,0.00,-0.12,-0.12,-0.24,0.00,-14.38,-0.24,-1.00,-1.00,-4.79,-11.18,0.39,-0.05,0.04,0.33,0.36,0.58,-0.04,58.64,3.00,-1.00,-1.00,69.10,-0.02,-0.12,0.36,10.42,0.44,-1.00,-1.00,0.00,-0.04,0.07,-0.04,-0.32,-0.28,-7.76,-7.24,44.26,1.23,2.76,-1.00,-1.00,-0.08,50.68,46.54,0.17,-36.11,1389,,,,,
3018,Nordic Storm,5.83,-0.03,0.23,0.23,0.13,0.00,7.58,0.13,-1.00,-1.00,2.53,13.64,0.42,0.14,0.07,0.33,0.37,0.20,-0.04,29.45,1.16,-1.00,-1.00,69.47,-0.10,0.32,0.58,39.95,0.56,-1.00,-1.00,0.00,-0.04,0.08,0.06,0.12,0.18,3.49,4.71,37.03,0.86,1.29,-1.00,-1.00,0.30,87.82,83.80,0.31,13.22,1459,,,,,
3206,Royal T-Wrecks,4.54,-0.02,0.79,0.79,-0.04,0.00,-2.56,-0.04,-1.00,-1.00,-0.85,2.77,1.13,0.08,0.20,0.33,0.35,0.23,-0.01,37.95,1.58,-1.00,-1.00,86.78,0.11,0.36,0.50,48.63,0.82,-1.00,-1.00,0.00,-0.01,-0.02,0.20,-0.33,0.15,-8.43,4.84,35.38,0.91,1.54,-1.00,-1.00,0.99,94.39,93.06,0.41,42.50,1507,,,,,
