Alamo,txsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
3335,Cy-Borgs,3,4.34,0.00,-0.40,-0.40,0.05,0.00,3.16,0.05,-1.00,-1.00,1.05,7.10,-0.06,-3.54,-1.15,0.33,0.31,0.36,-0.01,37.43,1.93,-1.00,-1.00,80.75,0.14,0.34,0.41,44.46,0.54,-1.00,-1.00,-0.01,-0.01,-0.02,0.04,0.43,0.27,10.68,6.93,40.59,0.99,1.98,-1.00,-1.00,-1.54,94.78,93.56,0.25,40.02,1541,,,,,
3345,Metal Jackets,2,2.56,-0.26,-0.57,-0.57,-0.06,0.00,-3.88,-0.06,-1.00,-1.00,-1.29,-0.19,-1.15,-2.40,-0.79,0.30,0.17,-0.07,-0.02,15.18,0.13,-1.00,-1.00,23.61,-0.04,-0.04,-0.05,2.67,-1.00,-1.00,-1.00,-0.01,-0.02,0.29,-0.11,0.32,-0.14,8.66,-3.21,19.79,0.48,0.20,-1.00,-1.00,-0.99,32.65,32.48,-0.00,-29.92,1378,,,,,
3350,T-BOTS,3,2.04,-0.01,-0.18,-0.18,0.16,0.00,9.39,0.16,-1.00,-1.00,3.13,11.25,-0.67,-1.82,-0.61,0.34,0.17,-0.02,0.00,13.36,0.22,-1.00,-1.00,7.69,-0.21,0.03,0.07,-5.06,0.00,-1.00,-1.00,0.00,0.00,0.01,0.06,0.23,-0.14,5.92,-3.15,22.75,0.49,0.38,-1.00,-1.00,-0.78,15.78,15.78,-0.05,-25.29,1352,,,,,
3481,Bronc Botz,3,4.22,-0.01,0.92,0.92,0.47,0.00,27.99,0.47,-1.00,-1.00,9.33,33.13,0.13,1.33,0.39,0.33,0.32,0.16,-0.05,11.94,0.53,-1.00,-1.00,55.68,0.33,0.27,0.26,43.35,0.75,-1.00,-1.00,0.00,-0.05,-0.15,-0.11,0.16,0.12,3.18,2.50,39.93,0.76,0.99,-1.00,-1.00,1.32,91.31,86.46,0.38,13.88,1534,,,,,
3561,RoboRaiders,2,2.88,-0.19,-0.40,-0.39,-0.03,0.00,-1.71,-0.03,-1.00,-1.00,-0.57,2.07,-0.79,-1.57,-0.51,0.31,0.20,-0.03,-0.01,17.42,0.30,-1.00,-1.00,28.20,-0.01,-0.01,-0.01,6.32,-1.00,-1.00,-1.00,-0.01,-0.01,0.24,-0.07,0.27,-0.09,7.24,-1.79,22.16,0.53,0.37,-1.00,-1.00,-0.63,37.95,37.84,0.04,-22.77,1459,,,,,
3679,rattlers,2,3.82,0.02,0.12,0.13,0.08,0.00,4.77,0.08,-1.00,-1.00,1.59,8.79,0.26,0.90,0.30,0.33,0.28,0.07,0.00,24.08,0.79,-1.00,-1.00,41.92,0.11,0.11,0.11,17.23,-1.00,-1.00,-1.00,-0.00,0.00,0.10,0.08,0.10,0.08,3.01,2.43,29.25,0.69,0.87,-1.00,-1.00,0.45,53.75,53.85,0.16,-1.45,1448,,,,,
3834,Crab-bots,2,2.68,-0.23,-0.51,-0.50,-0.05,0.00,-3.08,-0.05,-1.00,-1.00,-1.03,0.64,-1.02,-2.09,-0.69,0.31,0.18,-0.05,-0.02,16.01,0.19,-1.00,-1.00,25.30,-0.03,-0.03,-0.03,4.01,-1.00,-1.00,-1.00,-0.01,-0.02,0.27,-0.10,0.30,-0.12,8.13,-2.69,20.66,0.50,0.26,-1.00,-1.00,-0.86,34.60,34.45,0.01,-27.29,1377,,,,,
3847,Spectrum,3,5.06,0.00,1.33,1.33,0.09,0.00,5.61,0.09,-1.00,-1.00,1.87,12.00,0.38,-0.06,-0.04,0.33,0.36,0.12,0.00,28.87,1.13,-1.00,-1.00,83.35,0.41,0.20,0.48,54.51,0.65,-1.00,-1.00,-0.01,0.00,0.03,0.03,-0.21,1.08,-5.13,27.05,34.49,0.82,1.22,-1.00,-1.00,1.29,122.39,122.74,0.41,84.10,1636,,,,,
4063,TriKzR4Kidz,3,4.49,0.01,3.36,3.36,0.19,0.00,11.40,0.19,-1.00,-1.00,3.80,19.25,0.35,0.88,0.33,0.33,0.39,0.16,-0.04,25.77,0.95,-1.00,-1.00,37.09,-0.11,0.09,0.25,11.00,0.60,-1.00,-1.00,0.00,-0.04,-0.01,0.04,-0.19,-0.12,-4.91,-2.66,37.17,0.83,1.14,-1.00,-1.00,3.69,53.69,49.48,0.19,8.42,1511,,,,,
4206,Robo Vikes,3,6.78,0.00,-0.01,-0.01,0.66,0.00,39.37,0.66,-1.00,-1.00,13.12,46.14,0.07,-0.08,0.02,0.33,0.50,0.37,0.00,21.54,1.80,-1.00,-1.00,58.36,0.16,0.22,0.36,36.80,0.67,-1.00,-1.00,0.00,0.00,-0.19,-0.06,-0.09,0.59,-3.25,14.42,60.91,1.19,2.45,-1.00,-1.00,0.01,118.92,118.92,0.62,111.99,1545,,,,,
