NENorthShore,marea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1699,Robocats,5.25,-0.05,0.18,0.16,0.09,0.00,5.61,0.09,-1.00,-1.00,1.87,11.03,-0.06,3.36,1.11,0.33,0.33,-0.03,-0.01,21.45,0.40,-1.00,-1.00,43.81,0.10,0.13,0.20,21.25,0.25,-1.00,-1.00,0.08,-0.01,0.06,0.05,-0.23,0.13,-5.34,3.52,27.07,0.63,0.49,-1.00,-1.00,1.27,58.36,58.92,0.05,17.00,1491,,,,,
1721,Tidal Force,5.74,-0.09,-0.13,-0.15,0.32,0.00,19.16,0.32,-1.00,-1.00,6.39,24.74,0.59,-2.65,-0.90,0.33,0.43,0.25,0.02,28.82,1.67,-1.00,-1.00,64.91,-0.01,0.35,0.40,36.98,0.84,-1.00,-1.00,-0.00,0.02,0.13,0.29,0.31,0.27,8.36,8.27,47.98,1.04,1.99,-1.00,-1.00,-1.05,97.93,99.90,0.36,64.79,1485,,,,,
1761,STEAMpunk Tigers,4.99,-0.01,-0.08,-0.09,0.42,0.00,25.01,0.42,-1.00,-1.00,8.34,29.92,-0.49,-0.97,-0.35,0.33,0.19,0.03,-0.01,4.95,0.09,-1.00,-1.00,16.33,0.12,0.00,0.12,11.72,0.22,-1.00,-1.00,-0.01,-0.01,-0.02,-0.08,-0.05,0.44,-1.34,10.47,29.96,0.54,0.51,-1.00,-1.00,-0.44,56.71,55.19,0.15,-14.14,1372,,,,,
2084,Robots by the C,4.98,0.11,0.14,0.19,0.37,0.00,21.95,0.37,-1.00,-1.00,7.32,27.12,-0.59,-4.40,-1.44,0.33,0.38,0.65,0.07,42.63,3.40,-1.00,-1.00,96.33,0.27,0.60,0.23,55.14,0.83,-1.00,-1.00,-0.01,0.07,0.11,0.08,0.09,0.82,2.84,20.92,64.57,1.43,3.77,-1.00,-1.00,-1.25,144.37,151.62,0.34,58.61,1616,,,,,
2423,The KwarQs,5.39,0.28,-0.19,-0.10,0.25,0.00,15.11,0.25,-1.00,-1.00,5.04,20.41,-1.13,-0.45,-0.34,0.33,0.24,0.08,-0.00,15.79,0.61,-1.00,-1.00,22.14,0.02,-0.07,0.18,6.69,0.58,-1.00,-1.00,-0.01,-0.00,-0.13,0.11,0.18,-0.12,3.91,-2.43,30.91,0.65,0.86,-1.00,-1.00,-0.44,40.11,39.79,0.01,-34.32,1346,,,,,
2648,Infinite Loop,5.21,-0.16,0.91,0.87,-0.09,0.00,-5.12,-0.09,-1.00,-1.00,-1.71,0.96,1.24,90.42,29.94,0.33,0.26,-0.11,-0.01,22.51,0.10,-1.00,-1.00,100.95,0.27,0.38,0.32,48.51,0.84,-1.00,-1.00,0.08,-0.01,0.14,-0.05,0.33,0.05,8.87,0.98,17.39,0.48,0.02,-1.00,-1.00,30.81,102.90,103.27,0.23,16.52,1560,,,,,
2713,iRaiders,2.10,-0.09,-0.01,-0.03,0.09,0.00,5.53,0.09,-1.00,-1.00,1.84,7.60,-0.40,-1.88,-0.75,0.33,0.30,0.00,-0.02,20.96,0.40,-1.00,-1.00,30.73,0.02,-0.02,0.21,10.52,0.17,-1.00,-1.00,-0.00,-0.02,0.16,0.10,0.42,-0.01,11.22,0.29,26.49,0.62,0.49,-1.00,-1.00,-0.78,38.61,36.48,0.13,-32.50,1367,,,,,
3451,The ANOMALY,4.75,-0.10,0.17,0.15,-0.03,0.00,-2.06,-0.03,-1.00,-1.00,-0.69,2.83,0.61,-3.11,-1.00,0.33,0.18,-0.05,-0.00,19.89,0.26,-1.00,-1.00,25.55,0.07,0.03,0.04,6.65,0.08,-1.00,-1.00,-0.01,-0.00,-0.02,0.09,0.00,0.20,-0.05,5.56,17.83,0.46,0.23,-1.00,-1.00,-0.85,33.93,33.48,-0.12,-45.17,1373,,,,,
3930,SMART  Spruce Mountain Area Robotics Team,4.69,0.70,-0.23,-0.05,0.08,0.00,4.62,0.08,-1.00,-1.00,1.54,9.26,1.44,-4.91,-1.47,0.33,0.23,-0.08,-0.00,16.14,0.05,-1.00,-1.00,53.51,0.32,-0.03,0.48,38.84,0.86,-1.00,-1.00,-0.00,-0.00,0.19,-0.01,-0.06,0.01,-0.56,0.20,20.76,0.48,0.12,-1.00,-1.00,-1.52,62.97,62.52,0.12,-23.90,1450,,,,,
4169,Warrior Robotics,4.24,-0.14,0.38,0.34,0.07,0.00,4.09,0.07,-1.00,-1.00,1.36,8.67,-0.47,0.29,0.08,0.33,0.40,0.22,-0.00,35.11,1.58,-1.00,-1.00,97.84,0.33,0.39,0.54,62.64,0.84,-1.00,-1.00,-0.01,-0.00,0.04,-0.03,0.01,0.26,0.35,6.48,39.20,0.95,1.65,-1.00,-1.00,0.43,112.99,112.49,0.14,39.83,1490,,,,,
4311,Swampscott Currents,2.82,0.29,0.00,0.10,-0.01,0.00,-0.56,-0.01,-1.00,-1.00,-0.19,2.36,-0.69,-1.03,-0.33,0.33,0.24,-0.01,0.01,23.14,0.48,-1.00,-1.00,36.03,0.31,-0.11,0.06,13.21,0.25,-1.00,-1.00,-0.01,0.01,0.17,0.20,-0.25,-0.14,-5.47,-2.55,22.58,0.57,0.47,-1.00,-1.00,-0.24,35.84,36.08,-0.13,-47.59,1308,,,,,
