team,home championship,,,
835,St. Louis,,,
836,St. Louis,,,
839,St. Louis,,,
841,Houston,,,
842,Houston,,,
846,Houston,,,
847,Houston,,,
848,Houston,,,
852,Houston,,,
854,St. Louis,,,
857,St. Louis,,,
858,St. Louis,,,
862,St. Louis,,,
865,St. Louis,,,
867,Houston,,,
868,St. Louis,,,
870,St. Louis,,,
871,St. Louis,,,
876,St. Louis,,,
877,St. Louis,,,
884,St. Louis,,,
885,St. Louis,,,
888,St. Louis,,,
894,St. Louis,,,
900,Houston,,,
904,St. Louis,,,
907,St. Louis,,,
910,St. Louis,,,
919,St. Louis,,,
930,St. Louis,,,
931,St. Louis,,,
932,Houston,,,
935,St. Louis,,,
937,St. Louis,,,
938,St. Louis,,,
945,Houston,,,
948,Houston,,,
949,Houston,,,
955,Houston,,,
957,Houston,,,
967,St. Louis,,,
968,Houston,,,
971,Houston,,,
972,Houston,,,
973,Houston,,,
977,St. Louis,,,
980,Houston,,,
981,Houston,,,
987,Houston,,,
988,Houston,,,
991,Houston,,,
996,Houston,,,
997,Houston,,,
999,St. Louis,,,
1002,Houston,,,
1011,Houston,,,
1014,St. Louis,,,
1018,St. Louis,,,
1023,St. Louis,,,
1024,St. Louis,,,
1025,St. Louis,,,
1027,St. Louis,,,
1038,St. Louis,,,
1051,Houston,,,
1056,Houston,,,
1058,St. Louis,,,
1065,Houston,,,
1071,St. Louis,,,
1072,Houston,,,
1073,St. Louis,,,
1075,St. Louis,,,
1076,St. Louis,,,
1080,St. Louis,,,
1086,St. Louis,,,
1089,St. Louis,,,
1091,St. Louis,,,
1094,St. Louis,,,
1099,St. Louis,,,
1100,St. Louis,,,
1102,Houston,,,
1108,St. Louis,,,
1111,St. Louis,,,
1114,St. Louis,,,
1123,St. Louis,,,
1124,St. Louis,,,
1126,St. Louis,,,
1137,St. Louis,,,
1138,Houston,,,
1143,St. Louis,,,
1153,St. Louis,,,
1155,St. Louis,,,
1156,Houston,,,
1157,Houston,,,
1159,Houston,,,
1160,Houston,,,
1164,Houston,,,
1165,Houston,,,
1168,St. Louis,,,
1178,St. Louis,,,
1188,St. Louis,,,
1189,St. Louis,,,
1197,Houston,,,
1208,St. Louis,,,
1209,Houston,,,
1212,Houston,,,
1218,St. Louis,,,
1225,Houston,,,
1228,St. Louis,,,
1230,St. Louis,,,
1241,St. Louis,,,
1243,St. Louis,,,
1245,Houston,,,
1246,St. Louis,,,
1247,St. Louis,,,
1248,St. Louis,,,
1250,St. Louis,,,
1251,Houston,,,
1254,St. Louis,,,
1255,Houston,,,
1257,St. Louis,,,
1258,Houston,,,
1259,St. Louis,,,
1261,Houston,,,
1262,St. Louis,,,
1266,Houston,,,
1277,St. Louis,,,
1279,St. Louis,,,
1280,Houston,,,
1285,St. Louis,,,
1287,Houston,,,
1288,St. Louis,,,
1289,St. Louis,,,
1290,Houston,,,
1293,Houston,,,
1294,Houston,,,
1296,Houston,,,
1303,Houston,,,
1305,St. Louis,,,
1306,St. Louis,,,
1307,St. Louis,,,
1308,St. Louis,,,
1310,St. Louis,,,
1311,Houston,,,
1317,St. Louis,,,
1318,Houston,,,
1319,Houston,,,
1322,St. Louis,,,
1323,Houston,,,
1325,St. Louis,,,
1329,St. Louis,,,
1332,Houston,,,
1334,St. Louis,,,
1339,Houston,,,
1350,St. Louis,,,
1351,Houston,,,
1359,Houston,,,
1360,St. Louis,,,
1369,Houston,,,
1370,St. Louis,,,
1374,St. Louis,,,
1378,Houston,,,
1382,Houston,,,
1388,Houston,,,
1389,St. Louis,,,
1391,St. Louis,,,
1398,Houston,,,
1403,St. Louis,,,
1405,St. Louis,,,
1410,Houston,,,
1413,St. Louis,,,
1414,Houston,,,
1418,St. Louis,,,
1421,Houston,,,
1422,Houston,,,
1425,Houston,,,
1432,Houston,,,
1444,St. Louis,,,
1446,St. Louis,,,
1450,St. Louis,,,
1452,Houston,,,
1458,Houston,,,
1466,Houston,,,
1468,St. Louis,,,
1474,St. Louis,,,
1477,Houston,,,
1481,St. Louis,,,
1482,Houston,,,
1492,Houston,,,
1493,St. Louis,,,
1495,St. Louis,,,
1501,St. Louis,,,
1502,St. Louis,,,
1504,St. Louis,,,
1506,St. Louis,,,
1507,St. Louis,,,
1510,Houston,,,
1511,St. Louis,,,
1512,St. Louis,,,
1515,Houston,,,
1517,St. Louis,,,
1518,St. Louis,,,
1519,St. Louis,,,
1522,St. Louis,,,
1523,Houston,,,
1528,St. Louis,,,
1529,St. Louis,,,
1533,Houston,,,
1537,St. Louis,,,
1538,Houston,,,
1539,Houston,,,
1540,Houston,,,
1546,St. Louis,,,
1547,St. Louis,,,
1551,St. Louis,,,
1553,Houston,,,
1554,St. Louis,,,
1557,Houston,,,
1559,St. Louis,,,
1561,Houston,,,
1566,Houston,,,
1569,Houston,,,
1571,Houston,,,
1572,Houston,,,
1573,Houston,,,
1574,Houston,,,
1576,Houston,,,
1577,Houston,,,
1580,Houston,,,
1583,Houston,,,
1584,Houston,,,
1585,St. Louis,,,
1590,St. Louis,,,
1591,St. Louis,,,
1592,Houston,,,
1595,Houston,,,
1596,St. Louis,,,
1598,St. Louis,,,
1599,St. Louis,,,
1600,St. Louis,,,
1601,St. Louis,,,
1610,St. Louis,,,
1619,Houston,,,
1622,Houston,,,
1625,St. Louis,,,
1626,St. Louis,,,
1629,St. Louis,,,
1633,Houston,,,
1635,St. Louis,,,
1640,St. Louis,,,
1642,Houston,,,
1644,Houston,,,
1646,St. Louis,,,
1647,St. Louis,,,
1648,Houston,,,
1649,Houston,,,
1657,Houston,,,
1658,St. Louis,,,
1660,St. Louis,,,
1661,Houston,,,
1662,Houston,,,
1665,St. Louis,,,
1671,Houston,,,
