MIHowell,mihow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
2612,The Corsairs,5.64,-0.25,0.02,-0.05,0.24,0.00,14.29,0.24,-1.00,-1.00,4.76,19.89,-0.14,2.61,0.61,0.33,0.26,0.02,-0.01,14.54,0.29,-1.00,-1.00,55.14,0.28,0.36,0.16,39.99,0.93,-1.00,-1.00,0.00,-0.01,0.28,0.13,0.11,-0.10,4.17,-1.80,28.83,0.60,0.53,-1.00,-1.00,0.56,73.22,72.33,0.19,5.62,1489,,,,,
2834,Bionic Black Hawks,4.14,-0.07,0.17,0.13,0.26,0.00,15.53,0.26,-1.00,-1.00,5.18,19.80,-0.32,2.89,0.80,0.33,0.34,0.18,0.00,23.90,1.15,-1.00,-1.00,69.54,0.20,0.39,0.31,44.83,0.88,-1.00,-1.00,0.00,0.00,0.22,0.18,0.04,0.06,2.17,2.41,39.42,0.86,1.41,-1.00,-1.00,0.94,91.74,92.03,0.39,29.48,1509,,,,,
3414,Hackbots,4.00,-0.16,-0.11,-0.17,-0.04,0.00,-2.50,-0.04,-1.00,-1.00,-0.83,1.33,-0.15,-2.03,-0.59,0.33,0.35,-0.02,-0.01,27.93,0.63,-1.00,-1.00,62.86,0.26,0.23,0.22,35.52,0.58,-1.00,-1.00,0.00,-0.01,0.01,0.07,0.06,0.07,1.45,2.09,25.43,0.66,0.59,-1.00,-1.00,-0.76,66.28,65.70,0.02,8.17,1436,,,,,
3536,Electro Eagles,4.33,0.01,0.25,0.25,0.11,0.00,6.69,0.11,-1.00,-1.00,2.23,11.27,0.56,1.57,0.28,0.33,0.27,0.26,-0.01,29.87,1.43,-1.00,-1.00,81.94,0.46,0.24,0.33,51.80,0.75,-1.00,-1.00,0.00,-0.01,0.00,0.07,-0.09,-0.06,-2.22,-1.09,36.56,0.86,1.55,-1.00,-1.00,0.53,92.12,91.44,0.12,4.71,1492,,,,,
3568,RoboEagles,3.84,-0.03,0.93,0.92,0.07,0.00,4.18,0.07,-1.00,-1.00,1.39,8.94,-0.34,3.93,1.21,0.33,0.35,0.11,-0.01,28.76,1.05,-1.00,-1.00,56.72,0.03,0.34,0.16,26.75,0.83,-1.00,-1.00,0.00,-0.01,-0.09,0.03,0.08,-0.03,1.48,-0.51,32.94,0.79,1.12,-1.00,-1.00,2.13,65.15,64.60,0.26,-11.26,1358,,,,,
3641,The Flying Toasters,3.47,0.25,-0.04,0.06,0.25,0.00,15.13,0.25,-1.00,-1.00,5.04,18.66,-0.13,-2.39,-0.76,0.33,0.26,0.35,0.08,30.81,2.15,-1.00,-1.00,65.28,0.43,0.19,0.08,35.23,0.64,-1.00,-1.00,0.00,0.08,-0.04,0.10,0.06,-0.08,1.27,-1.45,45.94,1.02,2.40,-1.00,-1.00,-0.70,82.49,90.72,0.28,-9.97,1432,,,,,
3707,TechnoDogs,3.96,-0.07,0.58,0.56,0.19,0.00,11.23,0.19,-1.00,-1.00,3.74,15.75,-0.14,-2.09,-0.75,0.33,0.33,0.07,-0.01,21.47,0.70,-1.00,-1.00,61.66,0.44,0.20,0.18,40.94,0.79,-1.00,-1.00,0.00,-0.01,0.19,0.10,0.09,0.08,3.11,2.60,32.71,0.72,0.89,-1.00,-1.00,-0.19,80.00,79.23,0.07,-10.16,1447,,,,,
4362,Gems,5.08,-0.00,3.59,3.59,0.19,0.00,11.45,0.19,-1.00,-1.00,3.82,20.12,-0.08,-0.52,-0.18,0.33,0.34,0.28,-0.01,29.72,1.51,-1.00,-1.00,77.41,0.35,0.42,0.19,47.88,0.89,-1.00,-1.00,0.00,-0.01,0.26,0.09,-0.18,0.23,-3.27,6.26,41.16,0.93,1.70,-1.00,-1.00,3.41,103.79,102.29,0.40,54.69,1555,,,,,
4384,Benzene Bots,5.30,0.09,0.88,0.90,0.54,0.00,32.63,0.54,-1.00,-1.00,10.88,38.83,-0.09,4.35,1.43,0.33,0.37,0.16,-0.00,12.88,0.85,-1.00,-1.00,51.83,0.31,0.20,0.24,37.51,0.85,-1.00,-1.00,0.00,-0.00,-0.02,0.14,-0.03,0.17,-0.81,4.99,45.51,0.87,1.39,-1.00,-1.00,2.33,95.64,95.64,0.26,38.06,1491,,,,,
4776,S.C.O.T.S. Bots,4.43,0.34,-0.38,-0.28,-0.05,0.00,-2.99,-0.05,-1.00,-1.00,-1.00,1.17,-0.03,-1.55,-0.48,0.33,0.34,0.18,0.08,39.36,1.94,-1.00,-1.00,96.88,0.36,0.35,0.45,58.00,0.71,-1.00,-1.00,0.00,0.08,-0.03,0.01,-0.00,-0.15,-0.19,-3.72,36.37,0.93,1.89,-1.00,-1.00,-0.76,94.33,102.64,0.16,-1.12,1461,,,,,
4840,The Panthers,5.15,0.09,0.10,0.13,0.33,0.00,19.76,0.33,-1.00,-1.00,6.59,25.04,-0.05,-0.14,-0.11,0.33,0.25,0.02,-0.01,10.69,0.21,-1.00,-1.00,16.98,-0.11,-0.03,0.27,6.40,0.17,-1.00,-1.00,0.00,-0.01,0.04,0.19,0.17,0.53,4.33,14.13,30.46,0.60,0.54,-1.00,-1.00,0.01,56.16,55.49,-0.05,-27.25,1341,,,,,
