ONNorthBay,onnob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
4343,MaxTech ,3,2.44,0.00,0.06,0.06,-0.14,0.00,-8.17,-0.14,-1.00,-1.00,-2.72,-5.68,-0.35,-0.69,-0.26,0.33,0.29,0.08,-0.02,32.82,0.92,-1.00,-1.00,73.80,0.02,0.57,0.24,41.24,0.81,-1.00,-1.00,0.00,-0.02,0.12,0.06,0.43,-0.05,11.27,-0.94,24.65,0.68,0.78,-1.00,-1.00,-0.20,67.18,65.30,0.03,-22.70,1418,,,,,
4357,Spartans,3,3.00,0.00,0.18,0.18,0.03,0.00,1.55,0.03,-1.00,-1.00,0.52,4.73,1.53,-0.47,0.01,0.33,0.21,-0.03,-0.00,19.20,0.24,-1.00,-1.00,31.72,0.15,0.07,0.03,12.51,0.17,-1.00,-1.00,0.00,-0.00,0.07,-0.14,0.17,-0.23,4.65,-6.37,20.75,0.51,0.27,-1.00,-1.00,0.19,30.09,29.87,-0.07,-42.78,1355,,,,,
4678,CyberCavs,3,4.96,-0.02,-0.08,-0.09,0.58,0.00,34.60,0.58,-1.00,-1.00,11.53,39.47,-1.43,-4.04,-1.46,0.32,0.39,0.32,0.08,21.14,1.94,-1.00,-1.00,44.83,0.21,0.09,0.20,25.15,0.79,-1.00,-1.00,-0.07,0.08,-0.08,0.43,0.19,0.44,4.40,13.15,55.74,1.11,2.52,-1.00,-1.00,-1.55,97.45,104.32,0.29,29.49,1618,,,,,
4704,Northern Lights Robotics,3,4.17,-0.16,-0.29,-0.34,-0.16,0.00,-9.48,-0.16,-1.00,-1.00,-3.16,-5.66,2.16,4.58,1.75,0.34,0.23,-0.02,-0.02,27.54,0.41,-1.00,-1.00,36.89,0.06,0.01,0.08,7.60,0.17,-1.00,-1.00,0.05,-0.02,0.15,-0.18,-0.09,0.42,-1.41,9.72,18.06,0.53,0.25,-1.00,-1.00,1.41,40.95,39.84,0.12,-18.90,1467,,,,,
4914,Panthers,3,4.88,0.05,0.26,0.27,-0.12,0.00,-7.34,-0.12,-1.00,-1.00,-2.45,-2.20,-1.19,-1.45,-0.60,0.34,0.43,0.10,0.00,39.49,1.37,-1.00,-1.00,68.12,0.05,0.43,0.11,29.23,0.65,-1.00,-1.00,0.00,0.00,0.01,0.29,0.30,-0.14,7.45,-2.06,32.15,0.86,1.25,-1.00,-1.00,-0.34,63.86,63.86,0.09,-0.51,1429,,,,,
4932,Cougar Robotics,3,4.31,-0.14,0.48,0.44,-0.13,-0.01,-8.20,-0.14,-1.00,-1.00,-2.73,-3.45,1.13,-2.42,-0.77,0.33,0.34,0.19,-0.04,37.95,1.29,-1.00,-1.00,81.14,0.36,0.33,0.19,43.96,0.93,-1.00,-1.00,0.02,-0.04,0.01,-0.11,0.19,-0.02,4.88,-1.12,29.75,0.81,1.15,-1.00,-1.00,-0.33,76.57,72.50,0.18,20.74,1450,,,,,
4946,ALPHA DOGS,3,4.92,0.00,0.93,0.93,0.21,0.00,12.71,0.21,-1.00,-1.00,4.24,18.56,-0.18,0.75,0.25,0.33,0.39,0.35,-0.02,33.93,1.86,-1.00,-1.00,62.91,0.28,-0.01,0.31,28.74,0.67,-1.00,-1.00,0.00,-0.02,-0.02,0.10,-0.00,0.31,-0.12,8.33,46.64,1.06,2.07,-1.00,-1.00,1.18,89.81,88.13,0.29,42.33,1584,,,,,
4968,RoboHawks,3,4.35,-0.07,-0.42,-0.44,0.00,-0.02,-1.30,-0.02,-1.00,-1.00,-0.43,2.61,-0.25,-0.92,-0.37,0.33,0.26,-0.07,-0.06,19.41,-0.09,-1.00,-1.00,15.08,-0.34,0.02,0.24,-3.95,0.25,-1.00,-1.00,-0.06,-0.06,-0.00,-0.02,0.21,0.12,5.26,2.95,18.11,0.46,-0.11,-1.00,-1.00,-0.81,20.65,13.60,-0.05,-90.82,1233,,,,,
5324,Hawks,3,3.75,0.00,-0.52,-0.52,-0.05,0.00,-2.85,-0.05,-1.00,-1.00,-0.95,0.38,-0.73,-0.48,-0.32,0.33,0.28,0.26,-0.02,36.21,1.55,-1.00,-1.00,49.94,0.03,0.20,0.05,14.05,0.08,-1.00,-1.00,0.00,-0.02,0.05,0.11,0.39,-0.04,9.93,-0.55,33.36,0.86,1.50,-1.00,-1.00,-0.84,49.77,47.87,0.04,-13.68,1422,,,,,
5652,Eagles,3,3.20,-0.10,-0.04,-0.07,-0.00,0.00,-0.05,-0.00,-1.00,-1.00,-0.02,3.08,-0.86,0.90,0.20,0.34,0.16,-0.23,0.00,10.61,-0.60,-1.00,-1.00,-8.45,0.04,-0.15,-0.28,-19.26,0.17,-1.00,-1.00,0.00,0.00,0.24,-0.21,0.02,0.01,1.61,-0.67,10.56,0.26,-0.60,-1.00,-1.00,0.13,-6.04,-6.04,-0.22,-65.65,1262,,,,,
