ChampionshipStLouis,cmpmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
148,Robowranglers,3,6.00,0.00,13.63,13.63,-0.04,0.00,-2.42,-0.04,-1.00,-1.00,-0.81,17.21,0.01,10.70,3.38,0.33,0.33,0.18,0.15,41.19,2.29,-1.00,-1.00,75.29,0.06,0.20,0.35,30.71,0.72,-1.00,-1.00,0.09,0.15,0.15,-0.02,-0.05,0.10,-0.59,2.49,38.78,0.99,2.25,-1.00,-1.00,17.01,94.99,111.44,0.17,31.01,1589,,,,,
156,RPM  - Robotics Plus Mayhem ,3,4.61,-0.02,-0.73,-0.73,0.06,0.00,3.39,0.06,-1.00,-1.00,1.13,7.27,2.57,0.44,0.35,0.33,0.32,0.23,-0.03,31.91,1.32,-1.00,-1.00,72.39,0.24,0.20,0.36,40.13,0.81,-1.00,-1.00,-0.01,-0.03,0.00,0.29,-0.15,0.12,-3.83,4.33,35.29,0.85,1.38,-1.00,-1.00,-0.38,83.98,80.79,0.28,14.33,1515,,,,,
190,Gompei and the H.E.R.D.,3,5.02,0.00,-0.14,-0.14,0.53,0.00,31.53,0.53,-1.00,-1.00,10.51,36.41,-0.06,0.56,0.11,0.33,0.26,0.46,0.08,24.40,2.32,-1.00,-1.00,76.12,0.54,0.41,0.08,51.61,0.89,-1.00,-1.00,0.00,0.08,0.19,0.49,-0.18,0.11,-3.61,5.26,55.93,1.14,2.85,-1.00,-1.00,-0.02,117.79,125.80,0.45,53.77,1526,,,,,
191,X-CATS,3,4.28,-0.01,-2.00,-2.00,0.33,0.00,19.70,0.33,-1.00,-1.00,6.57,21.98,1.04,-0.70,-0.14,0.33,0.38,0.12,-0.01,20.12,0.87,-1.00,-1.00,59.59,-0.00,0.35,0.45,39.61,0.94,-1.00,-1.00,-0.01,-0.01,-0.04,0.21,0.17,0.25,4.13,7.28,39.82,0.83,1.20,-1.00,-1.00,-2.14,88.85,87.96,0.52,16.88,1544,,,,,
222,Tigertrons,3,5.36,0.13,0.87,0.90,0.26,0.00,15.63,0.26,-1.00,-1.00,5.21,21.90,-0.03,-1.21,-0.37,0.33,0.35,0.43,0.19,41.77,3.32,-1.00,-1.00,84.42,0.34,0.31,0.21,43.02,0.90,-1.00,-1.00,-0.02,0.19,-0.05,-0.01,-0.06,0.25,-1.85,6.10,57.40,1.30,3.58,-1.00,-1.00,0.53,112.42,131.12,0.18,20.03,1557,,,,,
229,Division By Zero,3,5.27,-0.01,0.13,0.12,0.26,0.00,15.71,0.26,-1.00,-1.00,5.24,21.11,0.77,0.73,0.25,0.33,0.43,0.54,0.00,41.77,2.73,-1.00,-1.00,81.54,0.26,0.13,0.40,39.52,0.87,-1.00,-1.00,-0.00,0.00,-0.05,-0.02,-0.38,0.42,-9.87,10.29,57.48,1.31,3.00,-1.00,-1.00,0.38,112.94,112.87,0.52,75.85,1577,,,,,
236,Techno-Ticks,3,4.33,0.24,0.08,0.13,0.45,0.00,26.85,0.45,-1.00,-1.00,8.95,31.31,-0.25,2.91,0.93,0.33,0.33,0.40,-0.03,23.27,1.60,-1.00,-1.00,51.03,0.03,0.27,0.23,26.83,0.69,-1.00,-1.00,0.00,-0.03,-0.00,0.06,0.09,0.10,2.22,2.91,50.12,1.03,2.05,-1.00,-1.00,1.06,85.25,81.86,0.14,0.39,1566,,,,,
250,Dynamos,3,5.24,-0.34,-0.00,-0.12,0.34,0.00,20.62,0.34,-1.00,-1.00,6.87,25.75,0.96,0.75,0.31,0.33,0.37,0.41,0.06,33.03,2.40,-1.00,-1.00,99.54,0.44,0.64,0.25,66.20,0.85,-1.00,-1.00,0.00,0.06,-0.19,0.24,0.11,-0.31,1.81,-6.63,53.65,1.17,2.74,-1.00,-1.00,0.19,118.66,124.67,0.56,74.87,1581,,,,,
254,The Cheesy Poofs,3,3.65,-0.70,30.03,29.83,0.54,0.00,32.61,0.54,-1.00,-1.00,10.87,66.09,-1.31,51.42,16.79,0.35,0.34,0.23,0.24,24.27,2.48,-1.00,-1.00,108.38,0.64,0.22,0.49,67.32,1.00,-1.00,-1.00,0.98,0.24,-0.06,-0.03,0.40,0.29,9.80,7.06,56.88,1.15,3.02,-1.00,-1.00,46.62,181.53,224.66,0.56,137.28,1883,,,,,
271,Mechanical Marauders,3,3.82,-0.84,0.19,-0.11,-0.19,-0.00,-11.44,-0.19,-1.00,-1.00,-3.81,-7.73,-0.74,0.79,0.24,0.33,0.35,0.40,-0.03,49.50,2.29,-1.00,-1.00,91.77,0.34,0.30,0.20,42.02,0.92,-1.00,-1.00,0.00,-0.03,0.15,0.50,-0.28,-0.21,-6.19,-2.77,38.07,1.05,2.10,-1.00,-1.00,0.13,81.27,78.19,0.23,8.30,1454,,,,,
333,MEGALODONS,3,4.48,-0.01,-0.03,-0.03,0.31,0.00,18.80,0.31,-1.00,-1.00,6.27,23.25,0.25,-0.60,-0.21,0.33,0.37,0.01,-0.01,15.82,0.42,-1.00,-1.00,65.69,0.52,0.21,0.28,50.08,0.63,-1.00,-1.00,-0.02,-0.01,0.57,0.54,-0.17,0.34,-1.49,11.27,34.61,0.71,0.74,-1.00,-1.00,-0.24,100.21,99.09,0.42,33.68,1618,,,,,
340,G.R.R. (Greater Rochester Robotics),3,5.12,-0.15,-0.76,-0.79,0.42,0.00,24.97,0.42,-1.00,-1.00,8.32,29.30,-0.09,-2.61,-0.76,0.33,0.33,0.41,0.46,44.75,4.65,-1.00,-1.00,81.38,0.23,0.11,0.41,37.39,1.00,-1.00,-1.00,-0.01,0.46,0.34,0.14,-0.08,0.19,-0.38,5.46,69.72,1.53,5.07,-1.00,-1.00,-1.55,116.14,161.86,0.11,49.97,1618,,,,,
341,Miss Daisy,3,4.70,0.00,0.14,0.14,0.52,0.00,30.91,0.52,-1.00,-1.00,10.30,35.75,-0.03,4.52,1.38,0.33,0.38,0.37,0.08,25.93,2.20,-1.00,-1.00,58.07,0.06,0.23,0.32,30.75,0.79,-1.00,-1.00,-0.03,0.08,0.66,0.02,-0.03,-0.00,2.57,0.09,56.84,1.16,2.71,-1.00,-1.00,1.52,93.91,101.59,0.12,16.62,1554,,,,,
