ONMcMasterUniversity,onham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
2200,MMRambotics,3,4.40,0.00,2.55,2.55,0.67,0.00,40.04,0.67,-1.00,-1.00,13.35,46.99,0.02,5.26,1.56,0.33,0.35,0.35,-0.03,13.60,1.28,-1.00,-1.00,62.50,0.30,0.31,0.33,47.33,0.73,-1.00,-1.00,0.00,-0.03,0.42,0.43,-0.13,0.32,-1.09,10.10,53.64,1.01,1.94,-1.00,-1.00,4.11,119.59,116.98,0.34,52.16,1505,,,,,
2386,Trojans,3,2.11,0.28,2.13,2.17,0.04,0.00,2.65,0.04,-1.00,-1.00,0.88,6.93,-1.45,6.49,1.74,0.33,0.32,-0.02,-0.01,23.07,0.44,-1.00,-1.00,51.20,0.09,0.37,0.07,26.39,0.70,-1.00,-1.00,0.01,-0.01,0.03,0.30,0.28,-0.21,7.18,-3.63,25.72,0.62,0.48,-1.00,-1.00,3.90,54.49,53.50,0.00,-13.93,1461,,,,,
2702,Rebels,3,4.79,0.06,0.42,0.44,0.25,0.00,14.93,0.25,-1.00,-1.00,4.98,20.16,-0.35,0.29,0.02,0.35,0.24,0.42,-0.02,29.32,1.81,-1.00,-1.00,68.47,0.35,0.28,0.15,39.12,0.64,-1.00,-1.00,-0.00,-0.02,0.13,0.14,-0.14,0.51,-2.86,13.46,44.25,0.98,2.06,-1.00,-1.00,0.46,102.08,100.42,0.41,63.21,1549,,,,,
2852,DM High Voltage,3,3.09,0.00,3.03,3.03,0.20,0.00,11.78,0.20,-1.00,-1.00,3.93,17.91,0.03,21.08,6.81,0.33,0.35,0.38,-0.01,34.24,1.96,-1.00,-1.00,48.48,-0.08,-0.04,0.26,7.43,0.33,-1.00,-1.00,0.00,-0.01,0.44,0.65,0.06,0.02,3.80,3.72,46.03,1.05,2.15,-1.00,-1.00,9.84,70.10,68.97,-0.03,-16.75,1500,,,,,
3161,Tronic Titans,3,4.62,-0.02,0.35,0.35,0.02,0.00,1.45,0.02,-1.00,-1.00,0.48,6.43,-1.31,2.75,0.62,0.35,0.14,0.08,-0.02,20.99,0.56,-1.00,-1.00,26.42,0.16,0.01,-0.08,4.81,0.21,-1.00,-1.00,-0.01,-0.02,0.17,-0.22,0.42,0.08,11.31,0.85,22.44,0.55,0.58,-1.00,-1.00,0.97,33.70,31.48,0.05,-49.94,1371,,,,,
3571,Milton Mustangs,3,1.49,0.00,-0.41,-0.41,0.01,0.00,0.68,0.01,-1.00,-1.00,0.23,1.76,-0.01,-1.50,-0.47,0.33,0.34,0.01,-0.04,25.30,0.47,-1.00,-1.00,37.93,0.20,-0.08,0.14,13.09,0.33,-1.00,-1.00,0.00,-0.04,0.11,0.07,-0.24,0.36,-5.45,9.25,25.99,0.64,0.48,-1.00,-1.00,-0.88,48.94,44.84,0.11,-9.21,1394,,,,,
4039,MakeShift Robotics,3,4.27,0.00,1.97,1.97,0.55,0.00,32.92,0.55,-1.00,-1.00,10.97,39.16,0.50,6.25,1.93,0.33,0.35,0.47,0.16,30.47,2.98,-1.00,-1.00,63.71,0.19,0.27,0.16,31.31,0.79,-1.00,-1.00,0.00,0.16,0.08,0.28,0.19,0.24,5.03,7.48,63.39,1.31,3.53,-1.00,-1.00,3.91,110.35,126.26,0.37,56.99,1610,,,,,
4519,King's Mechavaliers,3,4.71,-0.07,1.27,1.25,0.41,0.00,24.82,0.41,-1.00,-1.00,8.27,30.78,-0.56,-1.46,-0.55,0.33,0.36,0.18,0.00,18.07,1.01,-1.00,-1.00,46.21,-0.06,0.42,0.21,28.68,0.29,-1.00,-1.00,-0.01,0.00,0.00,-0.09,0.65,0.19,16.21,4.27,42.89,0.87,1.43,-1.00,-1.00,0.70,81.25,81.11,0.04,2.31,1442,,,,,
4618,Newman Robotics,3,1.82,0.00,0.19,0.19,-0.07,0.00,-3.94,-0.07,-1.00,-1.00,-1.31,-1.93,-0.75,-0.17,-0.12,0.33,0.41,0.22,-0.00,41.23,1.74,-1.00,-1.00,73.73,0.49,-0.00,0.17,32.62,0.57,-1.00,-1.00,0.00,-0.00,0.12,-0.09,0.03,0.44,1.29,10.46,37.29,0.97,1.67,-1.00,-1.00,0.07,82.25,81.76,0.34,13.80,1487,,,,,
4777,Spirit Robotics,3,4.24,-0.14,0.55,0.50,-0.11,0.00,-6.75,-0.11,-1.00,-1.00,-2.25,-2.00,2.22,8.45,2.93,0.34,0.25,-0.19,-0.03,19.02,-0.35,-1.00,-1.00,33.93,0.01,0.17,0.06,11.98,0.17,-1.00,-1.00,0.13,-0.03,-0.05,0.15,0.43,0.10,10.49,3.39,12.27,0.36,-0.47,-1.00,-1.00,3.43,35.32,34.38,-0.08,-21.59,1324,,,,,
